URL Number,Title,Category,Description,MP3 URL
"""100""","""傲逆初长成  嘉宾：周鲁 穆飞""","""Gadio Pro""",""" 最近游戏媒体较为关注的一个国内独立游戏小组：傲逆 吸引了不少眼球 成熟的像素画风 有趣的玩法 激起了很多玩家的怀旧情怀 他们在著名众募网站Kickstarter.com成功达标募集了3.2W美元 我们听听中国小型独立开发团队的成长史 ""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156623400888326_hd.mp3"""
"""101""","""打死也不玩！""","""Gadio Life""",""" 一定有一两种你打死也不会玩的游戏类型或者游戏吧！说出你的心声！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156623400892806_hd.mp3"""
"""107""","""Ninja!""","""Gadio Pro""",""" 本期请来两位对忍者文化以及游戏有比较深入了解的朋友来一起聊关于ninja的起源 背景 发展 以及从超级忍和天诛两个游戏散发出去的话题 非常的专业精彩 知识性比较强 有爱的同学必听！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156623400892678_hd.mp3"""
"""126""","""異議あり! 上集""","""Gadio Pro""",""" 逆转迎来了新的十年 一款伴随我们成长的超级文字AVG神作 一款任社掌机上必不可少的作品 一个让你永远充满惊讶和震撼的剧情故事 上期我们聊了《逆转裁判》1-3代的故事""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156623400887814_hd.mp3"""
"""130""","""没那么简单！""","""Gadio Pro""",""" 这是傲逆团队采访的下期 对C-WARS项目感兴趣以及 独立游戏开发者以及想进入这个行业的朋友可以听听 详细介绍了C-WARS游戏的设定以及故事背景 还有傲逆如何在KS网站进行众募的经验 ""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156623132449798_hd.mp3"""
"""135""","""FASHION！""","""Gadio Life""",""" 新闻：路易鬼屋 E3发布会时间 植物大战僵尸2 EA拿到星战游戏版权等等 专题：真正的服装设计师为大家讲解游戏中人物的穿衣风格 以及背后蕴含的文化！其实都是胡逼！别当真！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156623132450182_hd.mp3"""
"""155""","""【GADIOPRO VOL.95】XBOX ONE特别节目！""","""Gadio Pro""",""" XBOX ONE横空出世 即使骂声一片 我们还是请来非著名索饭（halo官方小说翻译者）叉包同学来与我们一起聊聊新一代的微软主机 知道的不知道的 想到的想不到的 听听再说！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156623400887558_hd.mp3"""
"""174""","""異議あり! 下集""","""Gadio Pro""",""" 逆转迎来了新的十年 一款伴随我们成长的超级文字AVG神作 一款任社掌机上必不可少的作品 一个让你永远充满惊讶和震撼的剧情故事 3ds的5代马上就要面试了 这期我们聊了《逆转裁判》3代之后以及周边的故事""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156623400887430_hd.mp3"""
"""12953""","""CAPCOM编年史.上集""","""Gadio Pro""",""" CAPCOM 30周年生日快乐 ！本期卡饭熊大为我们带来CAPCOM的发家史 从一家土方公司到世界闻名的游戏大厂 都经历过哪些重大事件呢？让我们一起来回顾一下吧！ ps：第一任社长名字是“辻本宪三”而不是“迁本宪三”""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156623132449030_hd.mp3"""
"""12958""","""Microsoft E3 2013""","""Gadio Pro""",""" E3发布会后进行的评述！欢迎大家一直收听我们的直播！我们到索尼发布会以后始终在YY频道39488600进行直播！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156623400889734_hd.mp3"""
"""12959""","""Sony E3 2013!""","""Gadio Pro""",""" E3发布会后进行的评述！欢迎大家一直收听我们的直播！索尼发布会众说纷纭 但是价格确实让我们很惊讶！我们录制这期节目的时候已经24小时没有睡觉 有些不振 请谅解！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156623400886662_hd.mp3"""
"""12960""","""Nintendo E3 2013 以及全发布会总结""","""Gadio Pro""",""" http://c.tangsuanradio.com/gamecores/gadioprovol98.mp3""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622864010246_hd.mp3"""
"""12968""","""偶像！""","""Gadio Life""",""" 新闻:X1 大陆运行无压力 X1软件售价确定60刀一下和本时代持平 P4传闻11月底发售  titan传言只是限时独占  肯奶识别距离为1米 巨近 PS EYE与4代手柄结合等等 专题： 1. 游戏中角色的偶像、对主角影响比较大的人物 2.偶像一般对角色的影响方向 3.游戏中出现，成为玩家中大众偶像的角色 4.玩游戏时遇到的游戏高手 5.游戏中偶像对三次元生活的影响""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622864007430_hd.mp3"""
"""12970""","""CAPCOM编年史.下集""","""Gadio Pro""",""" CAPCOM 30周年生日快乐 ！本期卡饭熊大为我们带来CAPCOM的发家史 从一家土方公司到世界闻名的游戏大厂 都经历过哪些重大事件呢？让我们一起来回顾一下吧！本期是下集 讲述了cps3机板诞生一直到现在的故事 我们只是结合自己的回忆浅略的回顾 资料来源不一 不敢说是正史 如果有问题 希望热心听众能够指出有证据支持的正规资料 我们会在微博进行纠错""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622863997702_hd.mp3"""
"""12971""","""首发！""","""Gadio Life""",""" 本期很高兴请来敌台友的聊主播友藏来跟我们分享一下首发的故事 主持人细数自己首发过的游戏主机 首发过的游戏软件 以及首发的惊魂体验 节目最后也给大家诚意推荐了几个靠谱的游戏小店。欢迎大家收听。前半部分 雷电也给我们分享了本届E3的见闻 西蒙慷慨激昂的叙述了TLOU的通关感受 绝对没有剧透。""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622864005126_hd.mp3"""
"""12978""","""我在顽皮狗-程序员可老师""","""Gadio Pro""",""" 有幸请来任职于顽皮狗开发团队的程序员：可老师 来为喜爱The last of us这款游戏的核心玩家 还有游戏开发者们带来开发这款游戏时候的心路历程 以及顽皮狗公司整体的工作气氛 工作内容揭秘等等  千万不要错过！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156623132449542_hd.mp3"""
"""12981""","""幻魔讨伐绘卷！ 嘉宾：kululu""","""Gadio Pro""",""" 本期再次请来kululu老师为我们分享关于 《鬼武者》系列游戏的内容 为6月capcom主题月画上句号 大家可能都非常喜欢鬼武者系列 不过或许你对那段时间的历史更加感兴趣 今次kululu老师就为我们讲解一下历代鬼武者作品的历史背景 相信你会喜欢！ kululu本次更为大家清唱了日本的“能剧” ""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622864008070_hd.mp3"""
"""12982""","""老炮儿吐槽！""","""Gadio Life""",""" 这次姚姚丸领衔 从游戏设计老炮儿的角度来讲述游戏设计大概的流程以及自己遇到的不可理喻的事情 最后大家也一并说了关于借鉴与抄袭的概念 坚持与妥协的行为 做游戏不容易 做设计不容易 坚持自己更难   ""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156623400894342_hd.mp3"""
"""12985""","""”我们“的体验！""","""Gadio Pro""",""" 一次游戏体验上的革命。一个沉得住气的游戏，一个需要你慢慢品尝的游戏，一部关于情感和人性的纪录片。浮华的游戏业界不缺少场面火爆的大制作，也不缺少震撼人心的剧本设计。可是这部接近20小时的游戏给了我们一种更加冷静而深沉的体验，抛开浮华，我们都从中得到了很多。感谢顽皮狗。""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156623400889606_hd.mp3"""
"""12986""","""致听众！""","""Gadio Life""",""" 大家好！我们的100期常规节目到来了！首先新闻环节我们讨论了 PVZ2 GTAV 街霸新DLC 龙之皇冠 等等 我们最近推荐的游戏是 灵魂献祭中文版 另外讨鬼传也很不错哦！8月份有中文版 。专题环节我们就大家给与我们的节目的建议进行了一些讨论 以及未来会做的一些节目 非常感谢大家3年以来的支持 我们会清晰的定位自己的节目 让大家都能在GADIO找到自己喜爱的内容！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058689414_hd.mp3"""
"""12987""","""怎么就火了？！""","""Gadio Life""",""" 新闻：宫本茂谣言 飞龙重制 刀魂2重制 家园重制 丧尸围城3新demo 专题：专题部分 我们将讨论一款作品是如何成为大作的 一个游戏需要有什么样的基础还可以有成为大作的潜质呢？""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058688646_hd.mp3"""
"""12994""","""红白30年.上集""","""Gadio Pro""",""" 红白30年 我们又请来复古大神 北京市高碑店污水处理厂退休老职工安藤杰尼斯 以及任小妹玖梦妖 一起回忆我们同年红白色的记忆 上集内容围绕FC的周边 历史 以及很多回忆类的话题""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622595561734_hd.mp3"""
"""13014""","""投入的爱一次！""","""Gadio Pro""",""" 游戏革命的方向，技术还是情感，TLOU给我们带来了一种新的文化现象，一种游戏体验的新感受。我们找到前UCG编辑白夜，为我们解说游戏情感体验的发展。很专业哦！请收听！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622595560966_hd.mp3"""
"""13037""","""红白30年.下集 ""","""Gadio Pro""",""" 红白30年 我们又请来复古大神 北京市高碑店污水处理厂退休老职工安藤杰尼斯 以及任小妹玖梦妖 一起回忆我们同年红白色的记忆 下集内容回忆爆棚 历数那些最强悍的fc游戏！有些故事你知道，但是肯定有你不知道的坊间流言！一起来投入红白色的回忆吧！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622595561606_hd.mp3"""
"""13057""","""对话多边形！上集""","""Gadio Pro""",""" 荣幸请来著名游戏编辑 多嘴脱口秀主持人 多边形！多哥从业十余年 千头万绪 见证了太多的变化 因为内容极为丰富 我们分为上下两期播出。多哥从进入行业开始一直到现在，逐渐回忆了很多事情，上期包括编辑部的故事，还有自己的经历，对业界的看法，非常的精彩！ ""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622595561862_hd.mp3"""
"""13104""","""回到侏罗纪！""","""Gadio Life""",""" 新闻：微软套装 耳机 WIIU新游戏试玩 PSV新版传言 3DS破解消息 GTAV COD 新的视频评说等等  专题：侏罗纪公园马上重返3D荧幕 相信不少听众都是恐龙迷吧 我们请来熊猫以及丧先生 带大家回到侏罗纪的时代！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058689158_hd.mp3"""
"""13143""","""对话多边形！下集""","""Gadio Pro""",""" 荣幸请来著名游戏编辑 多嘴脱口秀主持人 多边形！多哥从业十余年 千头万绪 见证了太多的变化 因为内容极为丰富 我们分为上下两期播出。多哥从进入行业开始一直到现在，逐渐回忆了很多事情，下集是多哥对一些游戏现象的分析 ，还有对直播间里听众们的一些对话，欢迎大家继续收听下集！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058688902_hd.mp3"""
"""13176""","""狩猎！上集""","""Gadio Pro""",""" 距离《怪物猎人4》发售还有两周的时间，想必全世界的猎人们都已经寂寞难耐了吧！机核网最新专题节目也应景上线，邀请系列“高玩”老刘和@光之虹 带领听众一起回顾曾经虐与被虐的点点滴滴！上集围绕3代以前的作品开展！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622595561350_hd.mp3"""
"""13201""","""精神续作！""","""Gadio Life""",""" 新闻：2ds爆炸消息 MH4 Wonderful101评测 黑名单评测 HOME下线 龙皇港版乌龙 FF14 实况FOX DIE  专题：在游戏圈当中，流行着一种民间叫法叫做“精神续作”，所谓的“精神续作”和游戏杂志网站上说的“正统续作”（一部作品的后续作品，剧情和设定上都有所继承和衔接）不同，“精神续作”没有一个固定的定义，但是“精神续作”这个词却经常出现在各大游戏论坛上。究竟什么是精神续作呢？""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058689030_hd.mp3"""
"""13216""","""ジョジョの奇妙な冒険！（JOJO）游戏篇！""","""Gadio Pro""",""" ジョジョの奇妙な冒険！（JOJO）游戏篇！ASB已经上市！FAMI给了40分的满分，这部游戏到底有多好玩？从普通玩家看来或许并没有多么精深的系统也没有那么核心的玩法，不过对于我们请来的几位超级JOJO迷来说，这游戏应该给100分！我们本期先从JOJO历代游戏来回顾JOJO，关于漫画和周边，请期待我们下期二次元专题JOJO节目！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058688518_hd.mp3"""
"""13233""","""外号儿！""","""Gadio Life""",""" 新闻：机核网TGS2013行程预热 JOJO二手崩值 KZM评测 XBOX1首发日期以及相关 三大厂商相关新闻都有！专题：外号！想必大家在不知道游戏人物角色名字的情况下都给他们起过很多奇怪的外号和昵称吧！来分享一下！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058688390_hd.mp3"""
"""13245""","""狩猎！下集""","""Gadio Pro""",""" 距离《怪物猎人4》发售还有两周的时间，想必全世界的猎人们都已经寂寞难耐了吧！机核网最新专题节目也应景上线，邀请系列“高玩”老刘和@光之虹 带领听众一起回顾曾经虐与被虐的点点滴滴！下集围绕3代以及4代展望！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058684550_hd.mp3"""
"""13263""","""Polyphony工作室游记""","""Gadio Pro""",""" 一年一度的东京游戏展马上就要拉开帷幕，机核网首次应邀进行采访，我们几位主持人来到东京之后充满了热情，迫不及待的向要亲临这次盛会，并且把我们的所见所闻分享给大家。从今天起，机核网会陆续放出与展会相关的报道，请大家关注。   来到这里的第一站就让我们惊讶了一下，能够亲临大名鼎鼎的Polyphony Digital Inc并且与大师山内一典亲密接触，却是我们从未想到的。""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058684678_hd.mp3"""
