Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友，你再也不用担心被揭目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散。, Start Time: 27700
Text: 嗯，对嗯， hello hello hello， is this marching？ yeah？ it's marching。 yeah， are you in guys ah？ well， good， we are go。 this is gain course around beijing and is around it night。, Start Time: 68395
Text:  but we are so excited yeah ah h know have this interneyeyeah。 okay， so many guys。 so ah it seems we sound perfect。 it sounds scaare you will be greilnow ah，, Start Time: 117730
Text:  don't don't worry ah ah don't be very yeah HA of incentrtrial。 so ah a lot of interviews include e three， don't start around midnight。, Start Time: 130150
Text:  yeah ah ah ah very used to this kind of time schedule， don't worry about that。 yeah and okay， kay， yeah， so sorry。 ah probably video don't worry about because because ah ah ah and i need to right now。, Start Time: 139310
Text:  and yeah， in the apartments， i have the quality。 i mean， it break down it sounct all the way。 okay， don't i don't it？ it's it's it sounds perfect for for now。, Start Time: 150270
Text:  and ah ah ah ah is hurry。 yeah ah this is marmaand ah HH。 we are the the to to gengenerate for you today today and and and we are we are very pleased and actually both of us，, Start Time: 160470
Text:  uh， a really big fans of h of the chch。 yeah， since the very first， uh which which， again， me， me and a great great game。 and it's like a miracle，, Start Time: 175060
Text:  like for me。 it was like around， say， six years ago， and i played i played uh a such ture and IAPC of my my friend because he has really powerful PC。, Start Time: 185940
Text:  and i play that game by myself around that night。 and i wwasn't imagine today， i have have a great opportunity talk to talk with the the creator of such a。, Start Time: 197620
Text:  it's such a great game and i and so it's also like we have uh we have actually， before this interview， we have released uh the news on on our website，, Start Time: 207980
Text:  and we have cracked a lot of questions from our fans， your chinese fans， you know about this game and that， that feedback that that feedback。, Start Time: 220680
Text:  so so in sumpsiastic and they they really that passionate and that we have collected so many great great great questions。 and i think you know this，, Start Time: 229300
Text:  this this interview will be a great one。 alright。 uh so let me ah h mabe be mabe be first a small introduction at this clamer because i'm actually not a development myself。, Start Time: 239090
