Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机和网加九 pro 朋友。你再也不用担心被揭目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散。, Start Time: 27700
Text: 嗯嗯， so we now have like this interesting question， it's about culture， you know， different cultures， you know， uh according to uh a loss of four asian players，, Start Time: 68395
Text:  including chinese。 uh you know， germany， sucarean players h most female characters， most female figures in the most western video games can hardly be called attractive。, Start Time: 116330
Text:  you know， four instances， if if part rently， i might mention the name ball。 well， yeah， it's like for us。 um most they have really interesting attractive personalities，, Start Time: 130760
Text:  but not appeararances， but h， but in in your game， probably only only your game as the ah the of trst。 i'm western our PG games。, Start Time: 141980
Text:  i've heard that we， uh even asian games。 yeah， mme thing。 you say the most of your female figures in in the games and very attractive。, Start Time: 153700
Text:  i'm a enry。 is it a fan of theory？ and i'm i'm a trh yeah and eninterest。 and i'm a fan of enrea。 i'm a fan of enffer。 yes， we we we ah we ght each other after we got drunk about the figure of truth is can like the asian female probabit's really，, Start Time: 166060
Text:  really the so sophisticated， uh know lololy ly detayeah。 ah ah the tracand。 i'm a figthis ooay。 yeah。 and so um it's like uum。 um why do you think this is like kind of gap between you know the the idea of you know，, Start Time: 183820
Text:  the standard of beauty in in east and west？ and uh so and also also， why are why do do you you are the design of the female figures uyour。, Start Time: 206350
Text:  your designer of the female figures are widely so widely accepted in asia。 that's a that's that's really， really a really good question。, Start Time: 220640
Text:  II think， you know， the the first uh uh uh answer uh， which comes my my mind。 this probably， you know， because polsh woman are really beautiful and tiful。, Start Time: 229850
Text:  yeah ah ah ah so you ah uh all the listeners， you know， beautiful groups come come to all。 and yeah yeah yeah。 i think actually uh，, Start Time: 240750
Text:  our our creators uum， um h， the whole character department。 they spend enormous amount of time on the detail， because you know，, Start Time: 252070
Text:  sometimes very small things， um and and appearances are one thing。 but then if we are talking， for example， about， i know serial trees yeah，, Start Time: 262090
Text:  look at appeananal。 and then um this this is just um you know， are still image。 it's the movement。 this is the gegestures facial。, Start Time: 271850
Text:  and this is the the way she wins that she smiles with with positive feelings。 yeah， this ah the game is very sential and II know something something something。, Start Time: 280810
Text:  yeah ah exthink exexactly it's sential。 and when when it makes sense for the stories also sexual， that's i think why you have positive feelings and games have positive feelings。, Start Time: 291930
