Text: 他们说的我们聊的都是你们最想玩的，刚知道的才公布的，全是本周最热门的，欢迎收听机核网新闻节目。 judual news， waiting for my 大家周五好啊，我是新总部，欢迎收听咱们新一期的家族 news。哎，大家好，我是娜 dia。大家好，我罗罗。, Start Time: 4080
Text: 大家好，我是四十二啊，这周咱们依旧是在周四录的节目。对对，特别感谢这个各大厂商依旧没有面子。对对对，没有没有各种预告说要在周四晚上或者说周五白天又有什么事啊？对对，然后呢，我们上一周就是从上周五吧，到今天为止，应该是经历了一堆新闻的轰炸。是的，比如说上周五我们是吧非常幸运的隔过了 TGA。, Start Time: 35350
Text: 对，然后那个周末又是 PSX。对，然后这一周其实从周一到今天为止吧，就一直到刚刚咱们还看到了新的年前度 switch 的消息。是啊，所以咱们还是系统的给大家梳理一下。好，然后呢哎我多说一句啊，咱们现在听的这个音乐是这个死亡搁浅。在 e 三上公布的第一支预告片的音乐，, Start Time: 57690
Text: 然后死亡搁浅。其实在这个上周也公开了一段新片儿。对，所以咱们还是从头说吧，先从那个啊替谁说新闻，哎嗯，是吧？然后 t 人上有两件大事儿，一个是死亡搁浅播的片，一个是塞尔达播的片儿是好了，没了没事，下一个好对，好好好，对，确实也没别的事儿，没啥别的大事，没啥什么。, Start Time: 78230
Text: 对你你们说的都对啊，他说对，主要是因为那个其实在这段新的死亡搁浅的片上，我觉得可能大家这个投入的这个注意可能比之前那一部就是更多一些。对，没错。对，所以麦的时候是一个是可能是真的是新闻的，就是什么新闻去了，就是明星的这种效应。对，再有一个就是包括阿斌后来整理那个东西，, Start Time: 98450
Text: 也发现，确实现在这个细节巨多。现在你看个片都得用四 k 了，这个有点没是的，没有什么道理啊啊。然后比较有意思的是，昨天的时候好像麦斯自己还接受了一个采访。对他说啊这个是吧，这个根有有啥价是吧？对对，其实我也不太知道啊，把手指一举是我就大家就剪掉了。是嗯，反正总之我觉得得呃小这个最起码他的这个样子，, Start Time: 119290
Text: 或者说他一希望得到的效果他做到了。嗯，具体咱们现在肯定不可能说特别精确的解读出什么来。而且反正现在来看，最起码有一点是他这个项目不小，是就他虽然独立的单飞了之后啊，然是他看起来这个项目可不见得是一个小于 FGS 游戏的这样一个项目。对啊，反正甭着急甭急。这个我觉得大家就是千万别着急，, Start Time: 144270
Text: 而且他这种醒恍乎乎的这种概念什么的。咱们我觉得有限的时间之内，咱们就好好享受就行，好享受。对，就就别指望说一定要啊探出什么端倪，这个我觉得咱们都不可能做到了。没错啊，然后好，这个说完了完了，咱们可以说一下下周末的 PSXX 个真的是一一件事事，而且说实话就是之前全办公室都没享受。, Start Time: 165860
Text: 对，周末能就是有这么多消息来出来啊啊。因为去年的 PSX 我也跟了，就是一个有点黏黏糊糊的昏昏睡啊。对对，我觉得反正这次播的很很好。对，反正办公室各位确实周末也挺辛苦的。对，熬那个也熬的就是很难受受聊两点开始了是吧？下下辈又来了。对，是两点开始几点结束四点吗？, Start Time: 187160
Text: 我们看到了快五点。对对，快五点了。对对，很爽很亢奋啊。四川是刚出差，回来也比较辛楚。对，一会儿说说出差的事，对我和佳琪一起就是开始做做一个待了一天，在办公室某视频节目做到做到这儿。下午晚上大概八九点之后，正好就然后就直接就看这个直播了，是不过这内容确实是值得。, Start Time: 208050
Text: 我觉得这个夜熬的挺值的，我觉得很爽，最起码对我来说是值得欢呼吧。对对，值得我们挺高兴的一些内容。是的，首先说咱们可以倒着说，先说最最牛逼的，最最最最压轴的那个对，最牛逼的对，拉着袜子拍 two。对对，没错。哎呀，这个后来我们在网上看到就是说有玩家在现场拿手机拍那个现场玩家欢呼的那个得炸了，, Start Time: 230190
Text: 战神战了了，是真的。确实他第一个镜头好像是直接落在一对对，开开是对特别空的一个场景。是这样的，我们都觉得说最后压轴应该是战神。对，因为那个树林特、北欧，我们几个都在等战神。然后那个第一个镜头是那个树林出来，哎，战神神了，战神战神神，然后他镜头往后一倒，哎，, Start Time: 250970
Text: 一个火影秀的那个车，先是那个车是完了，不是。对，然后我就喊我说哦啊，然后他们不太相 leis go，他们不太相信他还在等，然后一上下镜头混赢，直接就直接炸了就对。而且而且他这段片确实就是我觉得没有没有想到的是，他不曾说可们有这么一个续作，他有可能颠覆这两个人之间的关系，, Start Time: 268010
Text: 就是给人感觉特别爽。对大家真正期待的就是因为你在一代实际上从游戏开始到最后结尾，我们真正说能容正用他们这个故事或者情感的，就是这个老基佬一小和艾丽他们之间的这种没有办法描述这个这事事。从我个人来讲，我曾经就是发表表点儿见我，我说这个故事啊别完完整，真的不要再拒绝，, Start Time: 287860
Text: 没想到很对。如果你想做，可以以一一个就是发于于个别人的故事，行尸走肉这种在是二四诗之下的这种其他故事。对对，但是说实在的看到这个之后，我真的不是说觉得说哎怎么就了了，真的还是想玩，还是想想到这两个这首歌歌就是没有法法个歌特别好。对，四十二可以说一下这歌的故事，, Start Time: 306560
Text: 他那个歌他那个歌其实就是改编了那个圣经的诗篇。对，然后这个歌其实实因为我写都都写在文章里。他最有意思的是他这个版本的结尾结尾他艾丽没唱那些歌，反而就是更意味深长一点啊。比如说说他说这个我登上山山丘，然后看到这个人拯救了世界啊，但是然后下一句是我想发问他又怎么把这个世界从自己手中拯救出来的啊，, Start Time: 324360
Text: 而这这个歌词其实挺意味深长的，所以这个故事究竟要转成什么风格，其实特别不好说，是所以才值得期待。我觉得嗯而且在这部预告片上，我觉得还是能看出来他在一些就是细节，就我说画面啊嗯一些细节上处理真的挺棒的，包括人物身上那些泥子，然后衣服的材质啊什么那种。然后还有那个个我拿这个片子给就是不玩游戏的人看过啊，, Start Time: 351170
Text: 在头几十几秒的时候，并没有人发现这是一个游戏的视频，是做的真是到了这个程度了啊，太牛逼了。所以说咱们不知道这游戏到底什么时候能卖，但是我觉得这个期待能一直保持下去，真的是非常好的一件事儿。嗯，然后除了这个之外，其实还陆续就公布了很多。比如说开场的游开场跟那个形成节奏上形成鲜明对比的神秘海域的神 VLC。, Start Time: 375610
Text: 对，一开始他跟那个就是他操控那个女女主角在那狂走路的时候，然后我们在想他是不是那个劳拉。对，然后是不是鼓励啊？对，然后后来看了几个打斗场面，觉得应该不是，就是你从你从开锁那块就应该觉得不是我觉得。对对，其实他有些 UI 的那个就是设计和他那个风格特别深爱对他的，, Start Time: 396910
Text: 而且他有些镜头其实很顽皮狗的个是。但说实话这一段演示感觉画面稍微差一点，我们一直不相信这是深海都觉得因为画面不太好，而且他有些节奏太慢，节奏有点慢，所以我们觉得是可能不是，但是又特别像深海，所以反而更迷惑。对，反正最后是对对，是是是，而且而且且在打造中竟然出现了合体系。, Start Time: 418140
Text: 对对对对对，然后除了深海之外，还有还有黄牌空战期，他就战说什么空战期其实也没啥太多说的啊，这个反而是我们这个机合网站上一个大哥的整一个整理，整理非常非常细。他应该是和这个贝尔坦战争能能连上，然后有整个一个故事。反正这一次呃黄空其实每一代风格就是都不太一样。, Start Time: 435740
Text: 有的有的特科幻啊，有的特写是这一代，感觉是偏嗯高科技和科幻风格一点。我觉得这方面其实咱们都不算特别深对对包，只是喜个空战而已。因为黄牌空战系列其实一直有一个自己的世界观。因为世界观和自己的哲学，对，包括他的这个空战玩法，哲学都是他自由。所以所以有就行，有就开心。, Start Time: 457460
Text: 对，真的是有就行。而且这个就是游戏疯了，这游戏身也确实好玩儿，所以感兴趣我觉得哪怕是咱们自己也可以提前再去对复习一下，了解一下他这个游戏到底是一个什么的设定他的对，反正就留言念一下。对，然后再有一个我自己特高兴的是古惑郎，哎哎，这个是真的部分还是人部分还是人完了没玩了，, Start Time: 478350
Text: 对不对？就就真的就听着古惑郎，就是转的时候，那个音效真的特别高兴。对对，然后包括外面其实他有一个播客还做了一个视频对比。就是其实他在有一部分的关卡是一模一样的。对对对对，就真的以前就觉得这游戏就是好玩。对，就是特别纯粹的一个好玩的游戏。嗯，呃他这个制作人就是他接受接受采访的时候，, Start Time: 498310
Text: 他过过他们最早想做一个就是翻新的游戏戏，就他只是想把那个老的古惑郎翻翻过去翻一对。后来他发现从代码上啊，他那个游戏老了了，就没有办法法所，就他们只能重新做，就是照着做。对，但是他又坚持说，我一定要把原来那个古惑郎做出来，他不想做一个新的国货狼，甚至包括括看是就是真真真粉粉脑残粉。, Start Time: 520350
Text: 嗯，所以他现在这个游戏就就是相相相于于把一二三代全部用现在新的图形技术再做了一遍。就就就说白了就是这么简单啊，就是就是就是真好是的对，好，然后同样还有一些就是复活的游戏，就比如说啪啦啪啦呀啪啦啪啦和啪拉碰啪拉碰碰啊乐可乐可也是。对啊，其实是是一些就是某种形式吧，, Start Time: 539680
Text: 让这些曾经喜欢这系列的玩家能再玩到这些游戏啊，然后还包括这个呃各种各样新的播片，比如说尼尔尼尔一段新的播片，比如说这个二之国、二之二之国、二之国，然后二之国就是去年 PSX 亮相嘛，这次也也算是一年下来再交代一下，这次也放出了一个战斗。对，个是曾经的年度 RPG。, Start Time: 560300
Text: 哦，对，是的，但是他竟然是在 PSX 上没留给 TGS 这一个，哎，也挺有一些意外。是的，我更意外的是他没有留给自己的那个，因为 leve 沃是有一个自己的个个布布啊，今年他那个自己发布会公布的内容其实也没什么对多的。反正说到这，正好把一些就是他是属于出来亮个相，, Start Time: 580880
Text: 然后不说太多信息的这些播片都说一下。比如说大概论廓 v 三的美版啊，比如说尼尔，比如如如如龙、如龙。对，然后像像伊苏源，这这个可能。对对对对，因为起源本身我记得好像是前作的重置，然后他再一次上了 PS 又起源了。对，然后上了比如说 GP sport 啊一段播片，, Start Time: 597940
Text: 这次是强调了四 k 相关的。对对对，表现力。嗯，比如说纳克大冒险有新作对，纳克尔啊。对，然后后有说啥着说，本上上是啊这方面不会，然后是生化危机七。对，还有这个反重力赛车啊，根本没没人提。但是你但是很好玩巨好玩的游戏，我跟你说真的对你为什么都不提 MAC 呢？, Start Time: 618000
Text: 不想不想展开说了。对，这个不是这个不是亮，只是亮相嘛，就是得展开说。嗯，就正好说啊，在在最后补充一个 MLBMLB 出到十七，而且这个时期看起来好像跟十六进步特别大。而这个游戏我要夸一下，你看人家个观众做的，你就非得说这个还得提这个看看某些这个啊足球游戏啊，, Start Time: 637030
Text: 啊啊，这差距真是啊，说说 MVC 吧，这说 MVC 哎，憋半天了，憋半天了。这次看到预告片确实和 UMAC 三这个差别有点大，变成了二 v 二。而且后来看着一个制作人的关于这游戏的介绍说，应该是有一些比较大的变动，比如没有了叫圆互系统。对，而且二 v 二其实某种层面上来说也是为了降低入手那个就是上手的门槛。, Start Time: 657140
Text: 嗯，对，然后比如说全新的这个宝石系统，其实我觉得这么看起来，那天豹德也跟我聊这事儿，他对就你单纯听他这些介绍，然后看演示其实特别像街霸对铁拳。对，没没敢敢说没敢说这么一说暴走，敢说我没敢说说你我跟你说这是对，虽然说比的不是特别好吧，但是对咱都希望啊说这游戏能做好玩了。, Start Time: 681060
Text: 是就是现在听他的系统介绍，就是没有那么复杂了。嗯，简单了很多，他的整体的那个美术也变了特别多，对美术风格变了。对，不过说实话我还是喜欢三的那个那种呈现的主老师，那个播片太好看了，他这可能是比较仓促，可能现在是单独有可能展示的东西还少。对，以后我觉得那种不好的播片可能还会还会来。, Start Time: 702060
Text: 对对，其实咱们想去年的 PSS 就是 CBT 总决赛之后放的那个街霸舞的那个演示的时候，那是第一次演示。对，那个时候画面真的跟现在比也不也糙。对，也糙很多。然后现在咱们看到的角色其实只有六个，就是相对来说就是我觉得是纯演示用的，而且没什么意外的六个就是不惊喜的六个人。, Start Time: 720190
Text: 对对，就是这个就是应该告诉一下，大家该有了。对，就这么兴，这嘛就有这么个游戏了，你放心吧，等吧啊，就这意思。不过比较高兴，他说一七年就发售真快，这这是什么事事儿？万万一呢万一呢万一呢首发有多少个人物，是不是很担心啊？万一然后同样是格斗游戏街霸舞，其实还公布了一七年的这个计票计划。, Start Time: 738990
Text: 是的啊，第一个角色是十二月二十一号就能解锁的。神人玩好鬼啊，现场上其实我和龙马已经看了一部分视频了哈，就是一有一些试玩，其实整体性能上感觉过四代差别不是特别赖逼。回归是我回去也打算练一练这个这个这个货啊，是我回去就是是有扭扭曲谁厉厉害，谁谁是是啊，否否否则你玩格斗游戏的意义何在啊，, Start Time: 760450
Text: 有道理是吧？当你一天晚上连续输五把，那是啊就知道是什么感觉了，是还是得好鬼，嗯，就跟着版本走。对，然后顺着卡布空这事说，然后昨天龙马其实发了一个新闻，是昨天还是前天，我记不太清楚了，就是关于他这个啊老 IP 的这个活性化计划，对活性化计划，他这个你能不能具体介绍一下，, Start Time: 781810
