Text: 哎，大家好，欢迎收听本期 juduo wave 节目。现在时间是二零二三年二月十四日上午十一点。我是 CT，我是 JF，我是饼干，我是自热。哎，还是这回就是这还是这阵容很熟悉，但是这回录的节目不一样，因为是想时效性高一点。这两天不是那个 steam next fast 嘛，, Start Time: 19210
Text: 新品节对我们都玩了不少游戏，就想感觉这个分享一下打打呃，对，分享享一下我们玩什么嗯，也特别简单，临时加入啊，突然插入啊。对，因为我们独立游戏的那个电台，那个时效性是很难保证的啊，主要录一些还没剪完。哎，你看来到这个得什么时候了？嗯，太好了啊，赶紧紧一节节目，, Start Time: 38150
Text: 经常录一些游戏戏。嗯，完之后十年前游戏，对不对？没事儿，咱今天讲的也是老游戏，对，是吗？根本不玩新品节，老饼节、老饼节了事。嗯，对他我们就进入正题吧。嗯，虽然最近也发生很多事儿，但是我们主要还是聊这个新品节的事儿。对对对对，谁谁来来吧，那来先来吧，看来来一个，, Start Time: 62070
Text: 昨天晚上夜里最后玩了一个，他叫 shadow out t 啊，有中文翻译叫凶影疑云。嗯，啊他这个是一个侦探游戏，嗯，肉哥侦探对他一会聊。但是我因为昨天晚上玩的时间有限，我还不太清楚他肉哥的部分是啥，他他基本上啥都肉游来吧，看那个预告是就是内容，他都先来个，, Start Time: 83410
Text: 就是他都先来吧，过程程。那在那世界对他这游戏本身框架是一个咱就说类似我的世界那么一个那么一个景致，画风也差不多。然后里边那人都是那种体素风格的。对嗯嗯，然后你这个主人公呢是一个我理解啊，他就是一个退已经是退休了一个警察。对你你在接私活就是你你你并不是这个正正警警察。, Start Time: 104790
Text: 对你哪怕是接了活去探案呢，也算私闯民宅，所以你也得这个黑色侦探了这事啊。哎，对，嗯，就你干的活也不是什么，就是肯定都是背地里那种侦探案件。嗯，对，然后你接到一个事呢之后，就就这个 demo 里边是一个固定警察。嗯，接这事事出发到了这地方之后，发现这个就是给你活的人好像已经暴毙当场，, Start Time: 130680
Text: 然后你就开始调查，怎么警察。然后他这里边就是刚才也说就是有点像我的事宅，它里边能互动的东西特别多。嗯，就是所有的这个柜子，以那个桌子，然后以及什么所有的推拉门冰箱嗯后都可以开。对，而且你所有的道具都不是那种说那个你点一下这个冰箱，然后给你列列表是吧？这里有牛奶，, Start Time: 153920
Text: 有牛肉，他是都好好给你放在里边，是就是就是每一样东西都都是有建模的。嗯，对，然后这个里边你的发现这些东西之后呢，你开始关联他们的关系，然后知道他们之间有什么线索。比如说你翻翻他垃圾桶，发现他有一些收据，然后证明了他前几天去了什么地方消费，买买超市买东西之类的。, Start Time: 173990
Text: 嗯，然后以及打开他的电脑，就是进他邮箱，看到他之前跟谁的一些通话记录。然后他这电脑还挺牛逼，他这电脑能直接把邮件给你打出来。是他那块有一个，他那块有一个就是像那个插那个 CD 的一个口，然后然后滋就把那个邮件给打成一张纸高级，然后你点那纸就变成你一道证据。, Start Time: 194410
Text: 嗯，你收集的这些信息之后呢，他因为是有个侦探游戏嘛，他非常就是懂大家的点，他就做了一个那个侦探那种那种墙，那板板就把然后他能把所有的信息都能拖成一张小纸条，嗯，钉在那个墙上，然然后后思维导图。对，就然然后然后这所有的线，所有的这个线啊，他也是他他可以你自定义嗯，, Start Time: 215850
Text: 就是你可以自己写时候，我我认为这个有什么关联，自己打字进去记记上。嗯，他但是他也可以就是他自己系统也会帮你关联。嗯，比如这个纸是在这个地方找着的。然后这个在你调查过程中发现这个被害人他是什么公司的，然后指谁是他老板，谁是他这个女朋友，然后跟谁有什么关系，然后所有那红线就自己都签签好了哦，, Start Time: 239480
