Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友，你再也不用担心被揭目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散。, Start Time: 27700
Text: 想 to spend 我 as we go， this should be rain with you when 我也是逼 stray。大家好，欢迎收听我们最新一期家里六 pro 专题节目，我是西蒙。然后今天呢我们请来了一位特别特殊的嘉宾啊，对，没错，特别特殊嘉宾。, Start Time: 68365
Text: 但是先介绍一下主持人吧。对大家好，我是谢总播。大家好，我是老孙。哎，那今天这位嘉宾就是谢恩伟，谢总谢总。对对，我望们跟大家打个招呼吧。大家好，我是谢总伟。对我觉得哎咱们怎么在节目里称呼称呼您比较合适，对道，谢谢。是是老恩总等，可就就可以以就就是老谢老谢也可以，, Start Time: 119610
Text: 老谢老谢对，老谢可以。嗯，那咱们今天请老谢来，主要是想我们在年底啊，就是正值这个国航游戏机上市一年。不不不管是微软还是索尼，谢总。对对，那正好是一个可以跟大家聊一聊的这个知持总结一段时间啊。对对，那今天这位一主持，谢谢。以嗯，好，我们聊一聊微软这个有什么样的这个事情和发生了好多，, Start Time: 142450
Text: 也许我们不知道。对，也许我们知道，但是可能知道的并不是最准确最准确的。嗯，咱们今天就来聊一聊，没错。对，嗯，那咱们从何说起呢？嗯，我觉得先从谢总的一个本身自己的一些经历聊起吧。呃，谢总自我介绍一下。对对，您这个自我介绍可能就是有好多玩家之前不太了解。您。对对，, Start Time: 168230
Text: 我们是也希望通过这次机会让大家好好了解了了了解更多多些，就把我的脑里头翻一翻啊，这样子先啊，各位听众大家好，我是谢恩伟。实际样啊出生在上海，有可能大家也啊应该呃多多少少稍微知道一下。嗯啊嗯，那呃在这几呃十几年的过程当中呢，之前一直在微软工作，我在微软干了二十年。, Start Time: 191370
Text: 对，二十年对二十年啊，这是我是唯一一个工作。哎，对，第一个工作也是唯一的一个工作啊啊，很专业。对大老师像接触，呃，然后在这个方面呢是这样啊，一直是一个技术难。我在呃研发这个领域当中干了大概十五年吧啊研发。对，然然后再转到呃中国技术术技技术员。对，应该应该这么说啊。, Start Time: 220870
Text: 对，是不是感觉有点宅的程程员？对对，是不是感觉有点宅的样子啊？没有，主要我们想了一下，我们我们屋里的另一位技术地好像对感觉不太一样啊，是吗？啊，呃然后呢在呃沃软大中华区呢负责了那几个方面的业务。一个主要是比较关注那个平台拓展啊，那个时候呢主要是负责在呃智能手机和 window 呃和 IE 的平台之上啊，, Start Time: 248720
Text: 然后把国内的一些呃开发商啊能够带动起来，在这个平台上做更多的应用的一些拓展。嗯，啊那这个之后呢，我就做了一些针对呃大中国区市场战略以及运维的一个工作。嗯，啊那实际上接那个 x box 呃，这样一个工作的时候呢，也是一年多吧，大概十八个月啊，能够接了这个工作啊，, Start Time: 275840
Text: 对我来说也是挑战蛮大的。因为呃这也是一个蛮重要的一个职业的转型。啊，以前的工作比较关注在很多呃商业用户的领域啊，现在的工作我想更多的呃比比业地气的就是用户户大用户了。啊，之前跟大家讲一个小插曲，那个呃我换工作的时候呢，跟我儿子说了，嗯，啊那我儿子呢兴喜若狂啊，, Start Time: 299310
Text: 呃喜洋游戏是吧？也不是啊，他他突然之间就知道了，就是说老爸是干嘛的啊，因为以前跟他讲说说不明白，然后以前跟他讲那个开发啊，服务器器高深的讲讲云计算啊，优算太高深了。然后应该一开始跟他讲游戏啊，一下就明白了。然后还有另外一个优势呢，就是对我两个小家伙来说，他突然之间感觉可以跟老爸去是吧？, Start Time: 322870
