Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友。你再也不用担心，本节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散，, Start Time: 27710
Text: 对对对对。 it was the best of times。 it was the worst of times。 it was the age of wisdom。 it was the age of foolishness。 it was the epoch of belief。, Start Time: 66645
Text:  it was the epoch of incredility。 it was a season of light。 it was a season of darkness。 it was a spring of hope。 it was the winter of despare。, Start Time: 95630
Text:  we had everything before us。 we have nothing with flash。 we were all going direct to have them will all going direct the other way。, Start Time: 107035
Text: 雨伞，我是的心。大家好，欢迎收听最新一期的加迪奥 pro 专题节目上来逼格过高。我觉得有点问题就对，稍微拉下来一点，稍微拉下来一点。对，然后来自一段这个麦教授的诗朗诵，麦教授也好久不见了。嗯，然后我们这个曲子呢来自这个奥斯 n winter 的，他的对为刺客信条，, Start Time: 117215
Text: 这 syndk 做的这个曲子非常好听。是的，然后今天呢我还有四十二，还有麦教授，嗯，咱们仨就一一块聊一聊。关于这个刺客信条枭雄。对，然后应该年度大戏啊，对对，大家应该应该蛮久了。这一期节目。对，而且刺客信条也是跟麦教授绑定的一个，虽然已经绑定了。对，是一绑定了。, Start Time: 166520
Text: 对对，但是一为没有给我钱。对，然后当时就是这个游戏出的时候，就好多人说麦教授怎么来。对，就去年录了一个大革命的，觉得对，觉得巨爽。当时。对对对，那咱们这一期呢就是让麦教授再讲讲次次生生伦伦敦的个对对，后后他也是来自伦敦的博士。对对，这个这这这这这座我我的给我感觉是挺那个的，, Start Time: 186140
Text: 怎么怎么说呢？就是这个感觉。因为前作发生在一些世界著名的一些城市，嗯，连城市就是你并不是那种巴黎也好，或者耶路撒冷也好，不是你每天都生活在的地方。当是上次文文之后，你本身你玩游戏就有一种中二病，就是你特别想就看到东西就想爬上去，你知道吗？然后这回他妈就就是在文文经常在那些点，, Start Time: 208670
Text: 我就真的聊了这个特别想爬上去，就特别想爬上去，特别控制不住自己的还原，特别好，还原还原非常非常棒。而且他给了我一个非常不一样的视角啊，就是因为我们经常比如说我经常街上走嘛，就有时候我经常好奇说那个美术馆顶上是什么样的，或者说从顶上看那个广场是什么样的游戏戏看。, Start Time: 228630
Text: 对，尤其是就真的哦，原来是个屋顶，是这样的，就真的是给了一个完全不同的视角。这个特别有意思，就真的是这个文化传播方面下了功夫者是。所以这这其实可能不是一家纯粹的游戏公司，觉得简直就是一家美工公司嘛。对，而且其实我觉得嗯所以你聊这一座嗯，对整个游戏系列的地位都嗯特特殊。, Start Time: 245890
Text: 对对，首先就是他嗯就是第一一个没有发售的时候，口碑就呈现下滑什势而已。真的是我觉得一个嗯呃相对年长，然后有很多作品的一个系列的一个转折作水牛座之一是不是大革命？就是是是发售后后碑碑的一个崩崩盘崩崩，然后这个崩盘带来的后续影响究竟如何？我们确实在枭雄里看到了，, Start Time: 267550
Text: 嗯，而且枭雄也算是一个呃玉币游戏反性嘛。对对，就就比较沉沉淀。对，是沉淀。对，确实沉沉淀是一个特别特别好的一个词儿。对，因为我们可以看看这些游戏当中的这个武器，嗯，武器系统是动作系统，战斗系统都是这样。对对，那就是聊历史和故事。之前，咱们不妨先聊聊这次游戏游戏的这个。, Start Time: 294420
Text: 对对对，它的变化和改进吧。对，因为其实现在网上褒贬不一啊。对对，然后咱们就是先聊一聊这游戏本身吧。嗯，对，说说到游戏本身的话，首先我们最受关注。我觉得大家也比较明显的。首先是一个它战斗系统一个变革，对它战务系统变革。它首先它其实跟很有趣的，就是他确实跟这游戏发生年代是就是有关系有关系的。, Start Time: 317720
Text: 因为像法国大革命那种年代，或者在那之前，你需要随身带一把剑，防身的那个年代已经过去了是吧？就是这个这个人可以配剑的人人可以配剑的时代，已经就是基本上已经过去了。所以你不能再再这样配一把明晃晃的，可以随时砍人的剑。嗯，因为因为社会社会变化了，不像以前那样的这个，, Start Time: 340070
Text: 所以这个这次这样的武器就变成一架更加隐秘的，就更加那种非致命的东西。比如说啊比如说就这次就是主要两个武器，主要啊对三个武器，三个武三个武器，但是这个比较比较比较比较隐蔽。对对，欧洲本本土就就是一个是手指虎，一个是一个是那个手仗剑。那 cansoul。对对，, Start Time: 359530
Text: 这就是弯刀。对，然后就是一种印印度那个弯刀。对对，一共就是这三种武器，这三种武器呃，怎么讲呢？就因为换了手指或者是用仗剑这种东西呢呃他就有点就是就他不再是那种一剑封口的东西，所以他也就顺带的引进了这种联机系统。嗯，联机系统这个联机系统我们可以中间看到非常非常明显的这个国际战斗是吧？, Start Time: 376810
Text: 对对，他可以看到非常明显那个蝙蝠侠的那个影视蝙蝠侠这这几极其直接的那个模式。对，就是你联接到了几下之后，可以一击毙命中的敌人之类。这种他也可以看到学到很多东西，但是呃事实上应该还有。对啊，对于这个我觉得嗯这个战斗系统，一方面标志了森维性岛进入现代社会，真正意义上就是工业时代之后的我们更容易理解的那种社会结构下的对，, Start Time: 401530
Text: 是吧？这状态态测测没错，古点像以前那种，在那之前可能都是古典时代的逻辑。对，比如说这个平民这个嗯明显的阶梯化呀是然然主主要我觉这一座有这样一个设定，最大的问题就是你不能再把 AI 的舆论解释成居民了，都已经工业时代都已经对这样一个状态。其实现代社会的曙光对路人不应该那么傻了。, Start Time: 427270
Text: 对，不过这其其实还有有话话扯回来。就是其实比如说大家会注意到，英联邦国家是靠左行走的。联盟为什么靠左行走？是因为罗马时代那个时候罗马权权崩溃之后，在因当当罗罗马以前归罗马统治制的这个英格兰是很就是你在街上走很危险，你靠左走的时候方便你拔剑，保卫自己。你想你拔剑之后，, Start Time: 449380
Text: 你是靠左行剑的，对不对？因为对你要靠左之后，你就可以防防身了。对，所以就是英哦英联邦这个对，而大大陆国家都是靠右行走。对，因为他们不用在乎这样，但是英国需要靠左行走。对，这是其实特殊。对，这是一点。我想神了，再扯一点，继续继续。然后这一座就是我还想说一个战斗就要提到另外一个他对这个战斗士游戏逻辑的一个变化，, Start Time: 470040
Text: 就是这一座只有三把武器。嗯，对，但是呢就是联机呢嗯应该说系统比较简单，但是还算好玩，他又和五代那这种围绕着就是和大革命里围绕着武器本身的那个多样的动作又不一样。嗯，其实我们能看到就刺客信条，一座一座都在翻来覆去的纠结修改哪个更适合当年的时代。对我觉得这个三武器简洁粗暴的这样一个模式。, Start Time: 493340
