Text:  go my friad 爸爸，您好，请问您是张先生吗？哎，我是您哪位？您好，我这边是机合网，恭喜您获得核聚变，北京站门票核聚变。我以前去过呀。这次的核聚变引入了新的游戏和新的玩法，会带给您不同的体验和不同的快乐。哎，得嘞，您要不直接跟我说有什么奖品吧？我们除了有四 k 电视 PS 四 pro 叉、, Start Time: 380
Text:  box one 叉以及 NS 外，还会再送您十二块您喜欢的游戏，还有这样的好事儿，您不会是骗子吧？哎，会儿是不是该让我交钱了？您放心，只要您是第一个通过所有地域挑战的玩家，这些奖品我们将免费送给您。哦，那您得和我具体说说噔噔噔噔噔噔嗯等合集片。二零一九北京站将在五月十一日、, Start Time: 27440
Text: 十二日在北京一创国际会展中心举办全场多个过关的项目与精心设计的第一挑战，等待每一位玩家的参与，海外的神秘嘉宾与现场丰富的舞台活动，也绝对值得你来。现场一看，淘宝搜索店铺集合部即日购票国集片，二零一九龙虎争霸，等你来玩，看到了满在大家好，欢迎收听最新一期的加利六 pro 专题节目。, Start Time: 57090
Text: 西蒙，我是四十二这期节目，大家看标题知道了，这是我们这个航天工程节目的系列节目的第二期节目。对，然后那个作为们对面的还有徐老师，请请打招呼。 hello，大家好。哎，上期我们这个讲了一个航天工程程，大概概一个个算是梗概吧。然后我们介绍了一下这这个航天工程里面大概分为哪几个系统。, Start Time: 136570
Text: 对，然后这期节目呢其实就按照我们上次说的，哎，对，我们上期其实也提到了，我们请来另外一位在天地运输领域，哎，从业的从业的一个专业的嘉宾。哎，但是嘉宾有个代号啊，我们叫他七十二呃七十二老师，七十二老师请请打个招呼。哎，大家好，我是七十二。哎，对，四十二和七十二之有数字打招了啊。, Start Time: 159110
Text: 对，然后这个天地运输系统那个我们上期节目哈是这个航天工程里面最为基础的一个根部分。对，基地部部分没错，它所有的一切都基于这个是的天地运输系统，然后才能有更多的这个应用的可能。嗯，对，然后这一期我们大概再了解一下，天地运输系统里面都分为什么？然后并且它是什么这个这个天地运输系统怎么来定义等等。, Start Time: 182850
Text: 这些概念我来解释一下这个什么叫航天天地运输系统吧。天地运输系统实际上就是把呃需要上天的载荷，从地面用到天上，嗯，用到地球、月球或者火星的轨道上。嗯，天地运输系统。我们一般说到天地运输系统，其实最常见的就是咱们的火箭。嗯，运载火箭，比如像咱们长征系列的，呃，, Start Time: 210620
Text: 实际上呢呃还有已经退役的航天飞机。嗯，还有就是说处在概念阶段际上上九十年代初到呃两千年左右特别火的这空天飞机、空天飞空天飞机实际上是单机入轨的，也可以算作一种天地运输系统。嗯，还有一种咱们现在其实用的最多的呃飞船相当于是比如不给那个空间站补给货物，嗯，或者是载人的叫飞船啊，, Start Time: 238250
Text: 就只叫飞船啊。对对，叫飞船主要分这么几类吧。哦，这个过去实际上分的在马斯克之前啊，就是咱可重复使用火箭之前，一般认为火箭是一次性的，那个不可重复使用的。嗯，所以说从另外一个角度也可以分类啊，就是说一次性的还有多次重复使用的哦，对航天飞机算是可以多次的。对，, Start Time: 271390
Text: 航天飞机、空天飞机实际上都是可以多次使用的。那其实我们这期既然是说天地运输系统，我们就按这个设计一次，就是给大家聊一聊。可能最重头的就是这期我们得航天火箭。对对对对，嗯呃因为航天飞机已经退役了，是对二零一一年美国航天飞机已经退役了。嗯，所以说全世界范围内最主流的天气运输机应该还是火箭，, Start Time: 296970
Text: 对，最主流的就是火箭了。其实火箭航天飞机最早是也是从导弹来的，实际上二战也是确实推动了整个人类科技的进步啊。嗯，呃呃，最早 VR 火箭呢可能就是是整个咱们体可以认为是呃整个咱们航天运输系统的一个鼻祖吧。因为大家火箭都是呃只不过它是军事用途嘛，它最早是当做武器用的，, Start Time: 321090
Text: 最早把它用作。呃，实际上是俄罗斯，就苏联当成苏联把它作为一个运载器，嗯，把卫星用到了轨道里。这个是咱们相当于最早的航天运输系统啊，实际上是从苏联开始的。嗯，呃在这个发展过程中呢，当然最有名的大家觉得呃包括现在现在最有名就是土星五，美国人土星五。嗯，啊当然就是土星五的总设计师跟 v 二总设计师是一个人是中国人，, Start Time: 349620
Text: 那就是冯布劳恩是他们的。所以现在提起这个火箭来，其实最有名的还是就是土星五，土星五最有名。嗯，所以火箭呢比如说现在的比较成熟的一些呃技术啊等等，是还是源自于 v 二火箭当时的那一套基础的科学理论啊，对对对对对，这跟咱们航空是航空发动机一样的，从德国开始。嗯，, Start Time: 382775
Text: 就是实际上当时呃钱学森跟他的老师一起去德国的有个秘密任务，他们当时要去审问那个冯布劳恩，冯布劳恩战犯嘛，哦后来就是相当于是他们 GL 就是喷气动力实验室。嗯，这帮创始人嘛也是从冯布劳恩那儿获得了不少的技术，这个也是相当于美国航天的一个一帮惦记人们。嗯嗯，所以说为这个祖师爷对，, Start Time: 410150
Text: 一直都往前字找找，就是 VR 的。对对对对，呃，包括就俄罗斯呃，就苏联吧，苏联实际上他也有他大师级别人物，比如说也是咱们呃航天里非常有名的克罗缪夫，但是也是一个可以比肩那个冯布罗恩的一个大师组是一个人物哦。嗯，对，那刚才是这个关于火箭的历史啊，其实都是从二战时候导弹来的对，, Start Time: 441220
Text: 到从导弹来的那其实现在的是这个运载火箭就它的一些基础的一些工作原理，或者是一些结构，大概是什么样，能不能给我们介绍介绍啊？可以呃，其实火箭呢这个原理呃呃跟咱们二踢脚是一样的。就是实际上是根据咱们那个呃冲量定理，就咱咱咱写高中物理学的一个或者冲浪物理可能都会涉及到不用冲量定理，, Start Time: 468770
