Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友。你再也不用担心，本节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。计划新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散，, Start Time: 27700
Text: 越来越。 i don't want to set t world long on ire。 i just want to store 啊，雷米 you 啊， in my 好莱好，大家好，别嫌我烦，我们又回来了，我们自己都给自己录像了啊。对，这是第六期节目。, Start Time: 67675
Text: 这个录音的这个故事还挺曲折的。我们这个约录音时间本来比较这个困难，然后今天本来想一期搞定文化的这个部分，结果今天已经聊到了第三期啊，对，我们还是想稍微的聊的透彻一点。哎，对，嗯，其实呃我不细细介绍一下下，不用介绍我就是老白，我就是那么么，毕竟的是我的继军。, Start Time: 115700
Text: 对，我是新王啊，那我们继续了啊，我们继续。那么实际上就是说实际上我们今天在这儿已经坐了，就是说快半天啊，就是中午过后一直就坐在这儿，然后不断的谈开始的时候，我们计划是文化一期一期七本起决定一期一个半小时节目解决掉。但对后来我发现真的是对不起自己。对，嗯，因为就是包括说是像上一期啊，, Start Time: 138940
Text: 我们谈到就是电影啊文文化、潮潮、文化文本、文学文本这一块。那么实际上还有很多很多话没有说啊非常多的内容啊，非常常流细节。嗯，其实没法说没法，就是在这个一期节目里说啊，就说说对我觉得大家要探讨的话，不妨就直接来到集合官网，我们这个节目时间轴底下评论区。对，大家喷吧，, Start Time: 160480
Text: 咱们就是一块儿在这讨论，讨论也可以，我对对对对对对对，就是也是希望能论论方便。对对对对对，从时候问题大家就问我们就跟大家聊啊。那么就是从我们这个角度来讲的话，我们也是希望能够把更多关于辐射的精髓分享给大家，分享给大家，带给大家。嗯，让大家真正知道就是说这个游戏下面潜藏了很多。, Start Time: 182510
Text: 对，因为它不是说像其他很多就是流行游戏那样，嗯，啊它就是一个快餐式的东西，吃完就完了。对，这个年货，这不是这东东西，一块儿能嚼好几年。对，没错。嗯，好，以上是扯淡啊，那么就是说我们上一言归正传，对言归正传。我那个上一期说是这一期是电影电影。那我们说啊文学文本是这个辐射文化观的骨架，, Start Time: 205870
Text: 嗯，那么浮于以上形成面容让人看到的东西嗯，啊就是其他的视觉的表现。没错，电影作为重要的一支，我们不得不用一期的时间来给大家分享。对，这是也一方面来讲呢，就是说电影的元素潜藏于就是辐射的，也是方方面面啊，另一方面来讲的话，就是啊这个它的表现形式，它的表现形式更容易唤起人们的认同感。, Start Time: 229430
Text: 对啊，那电影本身就是说作为一个就是近现代艺术形式，前段时间啊它它的历史才一百多年。对啊嗯啊，游戏游戏最年轻，最年轻的也发展最快的对第九艺术嘛。但是就是从辐射这个角度来讲的话，那我们今天经常讲一些大厂，那播片大厂对吧？对对，文玉璧之类嗯，就是把游戏做成电影，, Start Time: 255220
Text: 嗯，但是就是辐射一辐射二那个年代，它能够让游戏带来电影的感觉，嗯，啊它完全不是靠技术实现的对靠这个世界观的搭建架构。对对对，这个塑造啊，那么就是它这是也是给我们带来魅力的其中一个元素嗯，啊嗯，那么就是辐射它和电影的关联，这是与科幻对是无法分割。嗯，那么它很多就是比如说我们去追溯最早的科幻片，, Start Time: 277930
Text: 然后像一九九五的机械屠夫，嗯，就是一头猪那么早的电影。对对对，这是人类历史上就是说有有有迹可查的一部科幻片。那么就是等于说是就像那个笑话一样，就是一头猪从就是流水线这头进去了了，然后被分解了，然后从这头出是这样的情况。那么就是啊这个笑话就是当时苏联美国的笑话嗯，, Start Time: 308780
