Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友。你再也不用担心被节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 COIS 点 com 我们不见不散耶。, Start Time: 27700
Text: 大家好，欢迎收听我们最新一期的加 DO pro 节目，我是西蒙。然后这个音乐啊来自你们熟悉的 ftopad 这个 MGSV，然后我估计玩中文版的朋友们现在也玩的差不多了，因为咱们这节目提前录嘛。对，要等着中文版发售的时候再放，对不对？嗯，我们今天的嘉宾有我是园长。, Start Time: 77600
Text: 大家好嗯，大家好，我是 red。大家好，我是四十二。对，然后今天有我们四个，然后来给大家做一期节目，这期节目的字特别逗，叫做如何评价 MGSV。嗯，也是院长想的，好像知乎体知乎知乎体。对，因为我们想来想去呢，不知道用什么方式来解读这个 MGSV 更好。可能我们这一期就是在玩通这个游戏之后，, Start Time: 132300
Text: 然后我每个人来就他的其中几个点，然后来讲一讲说说自己的想法，可能是一期比较主观解读的节目。如果大家有一些不同的看法，欢迎跟我们交流啊。但是这个节目里的这个观点都是我们自己对于这个游戏剧情的一些分析。然后本期还有完全强烈的百分之两百的剧透。所以大家没有玩通的就不要听了。, Start Time: 156060
Text: 嗯，好吧，那咱们就按何说起呢，就直接讲游戏戏吧。对，游戏戏。对，嗯，先说最直观的嘛，就先说最直观这个游戏有什么感觉？对嗯嗯，就从这玩法上有什么感觉？对，首先来发表一下，我来我来我来我来，因为我是个手残党，所以我要第一个讲嗯，我玩这个游戏一开始前几个任务是特别痛苦的。, Start Time: 180530
Text: 因为呃系统因为我玩幻动之前并没有重温呃原报点，所以说上之后是感觉有点守生，嗯，然后这个游戏一下，把你扔到一个广阔的世界里。第一个任务就是那个呃不是续张之外吧，就是要救米勒嘛。对，就米勒就就是完完全是按部就班的他那个方式去打。但是发现因为这场景大了很多，用数量多了很多，, Start Time: 202030
Text: 所以很容易在他们的交叉视野中被发现。然后最后我最后就米勒那一关，最后那个米勒所在的关押的米勒的村庄，我是完全打过去的，我把所有突突突了住走。哦，对，但是你发现救完之后，还有一个难题要要面。对，就是你没法突突突的那就是你在桥上会被呃，奔过去，对，公主只能潜行过去。, Start Time: 225840
Text: 呃，没有骑着马跑奔过去，狂跑跑的时候奔过去了。因为当时特别困惑，这段演出，我后面可能会聊到演出。嗯，那现在我们之前说玩法，嗯，对，这次我觉得是因为是一终结之作。然后另外我觉得小岛在这一带里面倾尽所能塑造了新的一种游戏玩法。整个把之前 MGS 积累下来的一些，, Start Time: 249440
Text: 可以说风俗习惯都打破了，对吧？他做了一个沙盒化的一个方式，小岛小岛他自己也有说，他说这一款游戏的想法可能很早的第一款的 MG 的时候就有了，但是当时技术限制都做不来，这是他的终极的一个对愿望啊，终极的 game play 的想法，对吧？他这宣传片也怎么讲的。, Start Time: 272240
Text: 然后我觉得说这一款说我是我跟 red 不太一样，就是我在玩之前玩了很多 ground eros，然后使命玩嘛。然后每每做我都会去想办法去那个拿最高评价。所以制作在玩的时候，我一开始我就觉得嗯我要小心点，我觉得应该会很应该会很难。然后从头开始的时候就一直在那掐，, Start Time: 292320
Text: 人人就不用枪枪，然后没事就就用那什么弹夹夹这种东西可以在那玩啊。对，然后所以说就是一样，就是我觉得后来有新武器，我用新武器，然后开始尝试新的玩法，基本上都是用这套打打法。所以它里面可能有那个系统没有，就是那个渐进的系统没体验到。嗯，但是我总体感觉就是说我到目前为止，, Start Time: 310990
Text: 大概前面的任务就是不算那个直接 replay 充那个 s 我现在是白金加那个百分之一百，我真的关通了。嗯，然后说我回去看，我觉得没玩了这么多次，没有一次说是完全一样的体验是吗？没有一次完全一样体验，哪怕你有一些什么特别的牛牛掰的设备。他有一个那个就是那个电手，, Start Time: 330100
Text: 把整个村庄四十五米之外，再再全部震晕，就全部震晕。嗯，他有些时候你就会不知道，哎，那个地方不行，我有时候觉得很很酷的，就是然后那个人七十米，我先把那个人拿对象啪打倒了，然后电手把就下下人人部部起弄，但有时候就会出意外。有些时候就会哎，这个这那边还有个人或者说那个人刚刚好走出，, Start Time: 347740
Text: 就是有一点点意外，你就会马上要想个新的玩法。那新的比如说漏了一个我怎么办？我当时用了什么武器，就我觉得他这个做的特别好，就是你身上带的武器，自己选的嗯边的的那个当时的那个状况也是可能是不一定。嗯，哪怕是通行关，你可能差了一点点时间就不一样了。对，稍微稍微一个误操作就不一样了。, Start Time: 364300
Text: 然后你就用临时用你自己身上的弹药库和武器库去想一套想一套发现队当时临时出现的这么一个敌兵的配置。对，然后而且哪怕哎呦哪怕同一关，果然把椅子坐对，呃，觉是同一同一关的时候，他会他会比如说那个有些时候有头盔，有的时候没有头盔，有的时候有那个什么毒气面罩，嗯，啊这些也是随机的。, Start Time: 383140
Text: 所以说你在玩的时候，你就可能完全不知道说我这关这个是怎么用那个怎么样，你扔个扔个那个睡眠手雷，哎，刚好里面有两个人戴着面罩。我说一下，他并不是随机的，不是随机的，不是随机的。因为你你可能跟我玩法不一样，因为我是老用一个套路，然后被被敌兵克制之后，然后换换另一个套头了，, Start Time: 407850
Text: 是不是？你经你经常用呃麻醉手枪打头爆头发，他会带上头盔。你经常用毒气弹或者说烟雾弹，他会带上那个夜视仪啊。如果你经常用喷子直就是职业正面缸，那就是他会带上防爆盾，然后什么假。嗯，我到后期就是这种玩法根本就玩不下去了。因为敌方根本就是一喷子，他都没有硬纸的，, Start Time: 427470
Text: 他一喷到管直接倒下了。我如果必须逼着我去近身去，从后边去用 CQC 来把它解决哦，所以然后包括所以后来我我的打法变成什么呢？我就完完全依赖那个快， et 就是用用快的话，你可以完全用盟军敢死盟军敢死队的打法来打。就是你可以离着，那比如说 total styles 就是完全潜入不能被发现。, Start Time: 446490
Text: 那你那我就是找个山头躲着，然后只因我指引 q 那个 quiite 是呃到一个伏击点轻敌轻敌，然后再挪挪，就是他打一枪，敌人会开始对他对扫扫射，你，你就让他躲躲开，另另个点儿去把暴露出来，敌人干掉 total styles。我完全可以就通过这种办法，你就站在初始点，, Start Time: 469490
Text: 你不用动就可以把所有人都干搞定，然后你慢慢走进去收收受收收的资源，什么对么随便了。对对对对，但是他确实做到了，就是每一次游戏流程体验都不一样。我觉得对一个潜入游戏特别特别不可思议是没错。就是我一开始看到 MGSV 第一次亮相就是在 EE 三上第一次亮相的时候，, Start Time: 488930
Text: 其实我是对内心其实是挺存疑。对，因为我不太信任日本人做的沙盒游戏嗯，因为他当时的宣传是开放世界沙盒。嗯，当时我已经被这个沙盒游戏搞得非常腻歪了，有点受不了了。我觉得这怎么可能做好呢？然后但是玩了这个游戏之后，我得说就是 MGSV 它的 game play 层面，, Start Time: 511910
Text: 甚至可以说对游戏设计都是很有启发的，因为它并不完全是沙盒。就是我见这是我见过用沙盒这种游戏模式最克制最理性的一款沙盒游戏，就是该用的时候就要用。如果这个任务就是不应该让玩家太过自由，那就不用。而不是说我是为了制作一个开放式游戏而去做，而是说沙盒适合我这样叙事，, Start Time: 533720
Text: 沙盒适合我游戏风格我才去用。所所以就是种种念念让我觉得他觉觉得非常不可思思。对而一种非常克制的风格在里，嗯，而且他的这一套，他的他的这个整个系统有一套 AI，他会学习你的游戏方式。对，然后你你自己的这个道高一尺魔高一丈这个方式，然后来让你这个体验保持一个平衡。, Start Time: 562740
Text: 没错，永远不会让你产生。我操我无敌了，我有一无敌敌法的这种感觉，他会让你想想些别的方法去打。就是刚刚那个像 red 说的，就老老老打头，他就会带头盔。对，然后你就会想新的方法，最后唯一一个我觉得挺无敌的，打法，还被他们搞掉了。对啊，你啊我我懂懂你我我但我介绍一个比较好的打法，, Start Time: 586460
Text: 就是你全程都用这个锁喉的这个方式，对，就会好一点。对，然后因为我很少用马尾枪，就是打头就是全打完那种的，所以就是好像还敌兵不会配置。那么我刚才了解就是 CCC，我就是他其实发售前就说了， CQC 是唯一没有一个反击的方法，其实也有盾的盾可以，但是盾要发现之后才能那个。, Start Time: 603800
Text: 对对，所以说你 CQC 是没有办法，所以我就一直在那锁猴啊，或者就是那个 freeze 这种。对，嗯，因为这是应该说最难的办法，因为因为你没有你必须得靠到最近才行。对，然后你要对周围情况都非常了解才可以。对，就是只有落单的时候你才能上嘛，所就就是嗯总设设计的非常厉害。, Start Time: 625010
Text: 但我觉得院长要要从一个专业的三 a 从业者，然后来分析分析。我我我觉得就是说作作为从业者，我就觉得就是很佩服吧。因为说像那个游戏在开发的时候，其实一开始都会先做原型嘛。嗯，然后做原型的时候，你就是对游戏好不好玩，就是一般在这时候就把握住了。嗯，然后像他像他这个他这个好玩是就是一直保持的，, Start Time: 643370
Text: 而且他不是通过内容添加的，嗯，他有各种各样不同的办法在里边。对，所以他我觉得这点就是我我觉得有点不可思议。就是说他的不同的玩法，不同的新的道具，其实对于我们来说，可能是一般来都要做 protect，要去测试的。对他有这么多，他大概如果说要测试多少次，要测试多少次。, Start Time: 667210
Text: 嗯，他每个都要去平衡，就是非常非常的困难，嗯，非常非常困难的事情。他不仅做好了，而且是做的就是让玩家在这个整个过程中一直都保持新一些。对，然后那我们会讲，那刚才说的是那个游戏性是里边一个 mechanics，我们叫 mechanics，然后那个游戏内容是 content 的。, Start Time: 684240
Text: 嗯，所以 contcontent 我们不讲，就是说我们不讲他关卡后面怎么样的话就这些。嗯，但是 mechanics 这点绝对是做的是顶棒顶棒的。没有没有任何，我觉得没有看到任何一个我容没有看过。对，在这方面能做到这么劲道，而且就是没有那种就是大大厂的那种就是商业的设计感。, Start Time: 701180
Text: 他他那个设计感就是完全是围绕就潜入的，就是自由潜入这个核心来浑然天成那种对，浑然天成。他你可能会有看到那个嗯就是那个 fuck 里里边那个 qumarking 系系统，那他那个 marketing 就用的就是非常有他的系统。嗯，你不会说就是就觉得啊你就是别的游戏个里 king，, Start Time: 717800
Text: 我要用个 marking，对吧？他不是这样的，他就是说我觉得这这游戏种我感到我比别别人的位置，然后我还把它用活了。我说啊筷子可以 marmarking 一部分人对藏了，看 mark 不了。嗯，所以你还可以用那个 dog 去 mark，然后你还可以用什么？在 online 里边你可以扔一个探测仪，, Start Time: 733320
Text: 探测一小部分的 marking，那就是只是这么一个简单技技别的游戏戏，用过还能把它用活，把它道具全都用进去。对，这是这是非常非常厉害的，而且它的核心机制非常的简单。直接我我觉得可以就是在某种程度上引入这个奥卡姆剃刀的这个说啊，是吗？对吧？你看就是呃我们可以横向比较一些潜入游戏，, Start Time: 749230
