Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏也能长知识。欢迎收听机和宝加九 pro 朋友，你再也不用担心被揭目安利的时候找不到那个游戏了，你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散。, Start Time: 27700
Text: 嗯嗯，大家好啊，欢迎收听最新一期呃，他最新一期的家居五 pro 节目，我是老孙。这回呢也是兑现了当初一个诺言。这回跟大家聊一聊这个明月忍洋还有如龙的一些故事。然后我们邀请到了一个嘉宾，大家很熟悉的暴走自我介绍。好，我是暴走。哎，然后这回呢我们也是正好赶上这回如龙零中文版要在五月十四号是吧？, Start Time: 66695
Text: 对，五月十四号发售这个繁体中文版也是这个系列首次嘛推出这一个中文版的游戏。我们也给大家做这么一期节目看看，说聊了解，跟大家聊聊这个名怨忍扬的一些故事。对，那咱们从何说起呢？操等于咱们之前呃机会已经做过如龙那个游戏的剧情的那个分析了，对吧？嗯，等于咱们今天就是聊聊他游戏背后的这些人和故事，, Start Time: 124240
Text: 还有开发的时候，一些密闻聊点八卦。对，聊点八卦。没错，看看这个明日沈阳当初是为什么要这么想？行，那咱们就从八卦，他小时候开始得呃明月它等于是出生在一个日本的，算是比较偏僻的一个地方吧，是日本的山口县的下关市。嗯，这地儿是一个，我就我记得是是不是一个港口城市，, Start Time: 148910
Text: 对吗？嗯，对，下关。当初我们在查资料的时候，也是看到这个地方应该算是一个日本的一个港口，它是比较偏它西边正好叫是一个什么？反正是是是一个捕鱼的一个一个一个一个一个小城城市。那等于是他他是你想是六五年生人，那他他童年那块肯定还是一个比较贫穷的一个就并并并不是十分发达的一个城市。, Start Time: 175620
Text: 对，然后我们通过这一些图片也能看到。之前我还在跟鲍总聊说这个地方看着怎么母亲是拍的照片，特别像两千年初的中关村。对，大家听这个时候可以一一块看看我们的那个对对对对对对，明远扬的那个文章章，家家可以可以互补着看。然后对，然后咱们接着说，他其实他的童年并不是过得特别的美好。, Start Time: 200280
Text: 嗯，他的父亲属于那种怎么说呢？就是比较呃基本常年不在家，然后是一个赌博，那这种就是坏习惯比较多吧，等于是他本身就是常年就是母亲自己跟他照顾。对，而且经常是父亲欠了好多债，然后就不管。然后欠债的人都跑到他们家里边来要钱，等于是一个不靠谱的爹。对，然后他的妈呃母亲要一个人呃抚养他，, Start Time: 223680
Text: 然后还要呃替他还钱也好，那维持维持生计也好，等于是童年他也并没有太太过对他就关心关心儿子的那个各各方面教育了。嗯，然后所以可能是导致他跟家里人就是稍微是比较疏远哦，关系不太好。对，然后大概是十五岁的时候，他上高中，嗯，所以正就是也因为就是家里环境确实每天有要债的，, Start Time: 254010
Text: 嗯，然后确实很难，就不像一个正常正常孩子生长环境。所以他就说我我可不可以去高中呃住校，嗯，就很早就独立了。嗯，然后可能是母亲也觉得确实孩子这样呃比较可怜嘛。嗯，然后说就就就同就就同意了，等于他从高中起就已经是跟家里基本就是也也不算脱离吧，就是基本半是半独立的状态，, Start Time: 280030
Text: 还是要家里给学费和生住校费嘛？嗯，等于说你不用管我了。对对对，你就给我钱，我自己爱怎么过怎么过。没错，然后可能也是因为确实家里家里的环境不是特别好嘛。所以那会儿高中的时候，他也呃跟当地的那个不良少年混的比较熟，不嗯包括小么呃节前什么这这些事也也都干过，嗯，, Start Time: 304110
Text: 也干过节钱的事儿。嗯，对，所以就是按照按照一般的就是那种发展的话，但是大哥可能会对，最后就是走上那种呃就是雅古大了。对，但是他明月其实他有有天赋，嗯，他的那个绘画嗯非常好。嗯，对他也也有一个梦想，就是想要从事这个电影行业哦，因为在那一会儿，反正他一个最大爱好，, Start Time: 324540
