Text: 忽然间中手未来的东伤，哎，后来的都在嘿嘿嘿嘿，后来的走。 but the body was nice， the party was pumpping。大家好，欢迎收听最近一期常规节目新闻。大家好，我是大家，我是莫比我我是吴头，他第哈英秀。对，这期节目有点像那个我们那期喝酒喝酒活吧，, Start Time: 300
Text: 生了一件尴尬的事儿。对，直接放放一曲放狗，这也是上期喝酒那期节目的开头的 BDM 事事。对，然后今天我们想聊一个比喝酒还傻逼的事儿。对，就是丢人现眼，其实我们就是尴尬的事，尴尬的事儿。对，就是因为我之前这个上次跟媳妇儿回娘家的时候吧，发生了一件极其尴尬的事儿。, Start Time: 29740
Text: 是后来我就觉得每个人拿拿出来喝酒、喝酒，生生活中都都好多特别尴尬的事儿。对，就近我们那是那种真尴尬啊，不是那种就是有事事。对，就是般般是特别逗的那种事儿，就自己都难以想象自己的那尴开玩笑笑了。对，就么都这傻傻事啊，就是那种事儿。对，然后其实最近的一个事儿啊，, Start Time: 53780
Text: 也跟游戏比较有关系。对，就是最近我们在玩盗贼之海。对我估计这个这期节目上的时候，嗯，就是上一期的新闻节目里头四煞应该已经诉说过我们这个对经历了。但他只说了一段，还有一段没说。对，特别丢人是望夏天。对，就是就四四善。你们知道它是一个懂那个舰船知识，然后也比较懂那个战术，, Start Time: 74520
Text: 就是海战海战战术嗯和整个体系的一个这个人吗？想说文化人，我来说还算很多的人已经挺尴尬了。对，然后然后他就是在我们玩的过程当中，我们开一艘大船，然后这个船那个雨落控制帆啊，然后我控制这掌舵，然后四十二呢就那个负责看地图啊，啊，然后负责负责放毛什么的。然后 CT 老师呢就是站在瞭望塔上看啊，, Start Time: 100010
Text: 然后我们当时是一个夜航的状态啊，在夜晚航行，然后船上都是宝藏，这是我们突然路过一个港口，这个港口啊，我们发现有一艘别的国家的船啊停在那，不知道是哪国人啊，因为这个游戏并不能知道你的对手他来的。对对对对，然后我们就说我操这整个一天都在被人打，说我们也要偷袭一下别的人。, Start Time: 129610
Text: 然后四十二这时候就开始疯狂的用专业的词汇布置战争 t 型阵列啊，什么侧弦什么，一共就一艘艘船帮你加戏的，然后说我们要分工好什么的。然后这个时候敌人没有发现，我们我们把船上所有的蜡烛都吹灭啊，你知道吧？幽灵船假装对，然后就是慢慢的飘过去。嗯，然后这个时候四十二说我们用一种最牛逼的打法，, Start Time: 151570
Text: 可以瞬间击沉这艘船。我操。对，然后敌人确实没发现，要不然他们就开炮了。嗯，我们贴的特别近，他说我用这个直接把锚放下去，扎到地底下，然后用这个船锚把这个船拉到一个瞬间，一个拉过来一个个超级战舰那个嗯记记吗？一个个一个一个漂移，一个漂移，然后漂移完之后，这船直接横过来。, Start Time: 175410
Text: 这时候开炮直接就压着敌船船，你知道嗯，然后他就开始等着这个发号施令，然后说放锚，然后把我们都那个所有弹药都准备好了。然后所有人都各就各位了。嗯，然后拉过去之后，我们的船头冲着人家的侧险，然后瞬间那帮老外就发现我们然后就就开始直接干，因为我们就被秒杀了。然后当时就觉得特别丢人。, Start Time: 197010
Text: 对，然后每当你在特别严肃认真的准备一件事的时候，嗯，然后但你发现这个结果极其的使狂太太太使了，然后就觉得特别傻逼。但是这个游戏真好玩，嗯，特好玩，昨天晚上我也玩玩，特别玩玩。对对对对对对，一说这个昨天晚上我跟摩比，然后阿冰公虎，然后我们四个玩儿，然后有一段时间是我们把船开到那个暴风里边去了，, Start Time: 223720
Text: 然后那个船就狂漏嘛，下边。对，然后我跟阿兵修船在那修。对，那时候是我的驾驶船。对，然后然后之后说不行，那个船破了就太太严重了。说了说那个先抛锚，把船停停儿，然后大家都来修，然后摇水什么的。然后我我我跟阿兵公虎搁那狂修，就找不着猫，猫比在对之后之后，就是那船已经停了，, Start Time: 248200
