Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友，你再也不用担心被揭目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散。, Start Time: 27700
Text: 对对对对。 i say， i move the mountains and now move the mountain if he wants them out of the way crazy cals me。大家好，欢迎继续收听加里奥辐射专题节目，我是主持人西蒙。, Start Time: 68065
Text: 那么这首曲子来自 bilhoholiday crazy， he calls me。对，这也是辐射里面一曲名曲啊，然后我们这个两位嘉宾依旧是。哎，大家好，我是老白。大家好，还是我我是志军，哎，还是我们老三位啊？我们书接上文，我们现在呃上一期跟大家聊的是战争。, Start Time: 114130
Text: 关于这个 war ar never changes，战争一直没有改变的这个主题。对对对，然后上一期我们主要这个给大家聊了一下，就是 great war 发生和发生之前的这个事情。对对，也就 great war 的时间点。对对对对，也就是说这辐射游戏真正开始之前的那些故事，, Start Time: 135190
Text: 你可能了解一下对辐射的这个游戏能有更好的一个理解。那么现在我们就来真正介绍一下，辐射发生之后，就这个游戏发生的这个舞台，那到底都有哪些组织？这些事实上就是战争对我们来谈的核心呢仍然是一个战争。因为战争从未改变，即使人已经就是人类死掉百分之九十。嗯，剩下人拿着大刀长矛，, Start Time: 154750
Text: 也还会继续继续战争争夺资源、争夺生存的地盘。对这样的一个情况。对，其实如果大家听我们第一期节目那个莱伯维斯蛋哥，其实那个小说写其实就是们 never change ges，这个是一永永恒的主题。无论论明明何何更替，还么轮回战争都是不会改变，而且永远人文明会毁于战争。, Start Time: 179020
Text: 对，就像呃很著名的爱因斯坦那句话，我不知道第三次世界大战，人类使用什么武器，但是第四次世界大战一定是使用石块和棍棒。啊。对对对对，所以我们从何说起呢？我们可以说一说战后我们都出现了那涌现了哪些废土之上的组织。对，实际上就是我们今天谈到战争战后并不意味着和平。, Start Time: 200599
Text: 对对，那么就是 great wall 在辐射的正史上，它只持续了大约两个小时左右。对对对对，这两个小时已经足以把世间的一切全部毁灭掉。嗯，当时有记载过到扔了多少个核弹头吗？这个是没有记载的呀，没有记载。季军，你的文档里有记载吗？这个没有记载，但是你就光知道了，, Start Time: 221420
Text: 光在莫哈维就只有两百多，对，一个地方就扔了两百多颗。对，就是说你看到的就是那个像呃比如说像那个 capital washington，就是那个华盛顿特区，这个是一个重灾区，这是个重灾区，就是说连续炸平了，连续吃了，不知道多少颗核弹。嗯，啊那么就是在游戏里展示的是一个微缩的世件。, Start Time: 241870
Text: 嗯嗯，但是就是可能大家对于白宫都特别有印象，对对，白宫根本就不存在了啊，是没有就没没有有炸成一块块。对，我们这这里边就是说可能呃不是很恭敬啊，但是就是大家可以回忆一下，前不久刚刚发生天津的这个爆炸事件。嗯，啊在那种情况下，就是说它和核弹的当量是完全不可比拟的。, Start Time: 263190
Text: 嗯，因为核弹当量基本都是在这种就是说世界毁灭级的核弹基本上就是说百万吨级、千万吨级。嗯，那么在天津发生的就是有的大家的说法是不一样，呃，但是最多也就是一个几千吨级的这样一个档位。嗯，对，但是大家已经很很直观，已经非常非常震撼了，体验到那个那个那种恐惧了。对对对，, Start Time: 285430
Text: 就是包括说是真的是浩劫，嗯，就是大家都看到过，就是说保税区燃烧汽车的。对对对，那个样子残骸的这样一个照片，那个就是一个浩劫过后的状态。嗯，对对对对，所以可以想象这个末日的 great world 带来的多么大的一个毁毁灭。对对对对，那么就是说在战后在战后 gridwall 结束之后呢，, Start Time: 306160
Text: 那么是因为原有的秩序、社会秩序和社会状态完全都被摧毁了。嗯，那么不同的组织啊、群体啊，他就慢慢的在这个废土之上开始浮现出来了。嗯，那这里边就是说大家会熟熟知一些组织，比如说像兄弟、会兄弟、会钢铁、兄弟、会钢铁、兄弟、会 NCR 英克雷这些对对，他们主导了整个战后的这样一个格局格局。, Start Time: 329150
Text: 那么就是他在战后的舞台上活跃着他们。那么这里边还要加上就是历代主角主角那一个人顶过一支军队的主角，那咱不妨就从出场的顺序来大概介绍一下这几个组织吧。对对对，嗯，是对呃，那第一个出场的应该就是钢铁兄弟会在整个辐射系列第一个出场。奥利会对嗯 brobrother of steel 这个钢铁兄弟会的这个背景呢，, Start Time: 353030
Text: 其实跟英克雷有非常大的渊源。嗯，怎么说呢？嗯，他最早的钢铁兄弟会是由一个美军上尉所创建。嗯，他是怎么说他是呃这是一个军一个整个一个军队小组嘛。嗯，他们在核弹爆发前一年被派遣到这个斯泰 weg。就是我们在上一期提到这个美国一个科研机构。嗯，你看现到斯泰克的一个对一个研究设施里面，, Start Time: 377740
Text: 然后出于国家安全考虑，美国政府要求由这个罗杰麦克森上尉带领。这支部队呢要求他要监控整个这个斯泰克这个实验，这个实验区这个先去所谓的就是马里波萨麦克波萨波斯斯特很重要，这个地方对，这是非常重要的地方，然后他要监控这里所进行的一切实验。对，然后他就把这个罗杰麦克森呢，, Start Time: 398140
Text: 就把自己所有的部队全部都拉了，拉到这边来，然后就开始在这边部署。而这个时候，罗杰麦克森根本就不知道这个马里波萨这个空军机里面到底在研究什么，太偏僻了，不知道世界发生了什么样的变化。对，就是然后呢，直到核弹爆炸之后，这个麦克森他的上他整个军队里面人才发现原来这边的人在做不人道的主生化实验。, Start Time: 420280
Text: 嗯嗯，他们把这种 wewef EV 病毒强制打到一些罪犯呀，一些受志愿者申请，那样把他们变成怪物。呃，就是后来那么就是部队强制处决了，就是从事这个实验的科学家。嗯，然后然后这个很快这个上尉就认为这种实验是简直就就都都世界都都变成这样了，你们还在干这种事事。, Start Time: 442290
Text: 然后马里瓜萨基地因为他自身有保护能力，所以大部分士兵都在里面。在核弹爆炸之后呢，这个麦克森上尉就强制性的枪毙了所有这边进行邪恶科学家。他认为这个邪恶实验的科学家，嗯，但这中间有没有到底杀掉无辜呢？其实这个游戏作者也并没告诉，那么说，反正是他确实把血血蚂蚂蚁博伯军总之干掉了一批人。, Start Time: 463380
Text: 嗯，对，干掉一批人之后呢，这个上尉打开这个呃马里波萨军事基地大门，才发现外面已经是基本是一片荒芜了。嗯，然后这个马里波萨军基地的所有的士兵呢，在麦克在这个上尉的。就是就我们知道麦克森后来就是钢铁兄弟会的总结，叫麦克森城，就是以他的名字命名的麦克森上尉就带着这些人开始了封锁基地之后开始迁徙。, Start Time: 485080
Text: 他们迁徙的一个主要目的呢就是想要找到一片还有幸存者生活的地方。嗯，就他们认为如果能找到好信的胜后，他们作为美军军军事、军队军事力量，他们有义务去保护这些人对正义的这个过程。对对对对，正义的人，他们一开始马克思本人很正义。对，但是你知道这种做法实际上也是非常的怎么讲一个咨询死路，, Start Time: 508900
Text: 他们这一路上经受了非常大的伤亡。对，那尤其是尤其是就是除了作战单位之外，就是这些士兵之外，那么跟随他们一起迁徙的，还有一些家属，还有一些家小。那么也包括被处决的科学家的这样一些家家属遗孀啊，什么什么遗孀，小孩子这些人。那么在整个罗邦对在在整个迁徙的过程中，, Start Time: 531160
Text: 其实是死了很多人的。嗯嗯，就包括马克松他自己的夫人。对，也在路上去世了也也去世了。最后马克松呢就在经历了这么多事情之后，他就认为说人类之所以自我毁灭，就是因为滥用科技，嗯，所以他就建立一个准军事组织，并命名叫钢铁兄弟会嗯正式成。无论代对，无论代价有多大，必须要保护人类重建文明。, Start Time: 552620
Text: 嗯，呃他的初始的观点就是搜集科技，把科技的资源集中到自己手里这样一个情况。对对对，要合理的运用科技，不能让科技滥用在一些歹徒和亡命之处手里其是很崇高的一个东情，就是莱伯维斯赞歌里面那个教堂所干的事情。对对，就是正义的保护，人类类文明明不落入这个坏人手里。对啊，, Start Time: 577150
Text: 然而并没有什么卵用这样的这样的一支部队呢。但你说在废土后的核战上，你大部分很多年以后啊，这些人都是手无寸铁的农民土人。这些人突然出现一群穿着动力盔甲，拿着各种能量武器的士兵。嗯，瞬间这些人就被用各种传传奇的故事传送了。嗯，就是他们当时是有具备这个，他们本身就装备了很多动力装甲，, Start Time: 600130
Text: 是不是在毛里巴里在弹前的时候，嗯，对军事机里面储存了很多军事设备，嗯，从动力装甲到枪械都有。对，那么包括就是说你在辐射二里边，你也会拿到就是战斗装甲、动力装甲以及其他很多的武器。对对对，他们的这个装备，他们的这个酒精压倒性的优势，但尽管如此，他们还是要受到战死。, Start Time: 625270
Text: 对对，他们人太少了，兄弟会从建立初期到最后，他们始终处于一个人数相对较少的。呃，而且就是兄弟会本身来讲，一直奉行一个精英主义的这样一个状况。对，这这个二一三四年的时候呢，这个我们知道呃，二一三五年的时候，这个麦克森最后他死于癌症，因为他的飞团待太久了，导致了造成癌症死于癌症之后呢，, Start Time: 646155
Text: 他的兄弟他的这个儿子就变成兄弟会最新就新任长老。而在他的儿子当长老的时候呢，还包括丹尼森、艾伦这些这些呃兄弟会成员，就是在兄弟会设立了一个等级制度，嗯，这等级制度很有意思。对对对对，中世纪的那种，这是等级组织，他更像就是类似于骑士教团，骑士教团，对，就是欧欧的那种感觉。, Start Time: 669390
Text: 对对对对对，他们人员分为两部分，一部分叫文士，一部分叫做骑士。嗯，文士就是科学家们研究员，骑士就是战斗员。在这样的一个让他们有非常严格的审核制度，他们也开始变得比较闭塞。他们不是很愿意，就很乐于去公开自己的技术，也不是很乐意去吸纳一些其他人加入自己。组织他们实行一种精英政策，, Start Time: 690710
Text: 就是必须就要严格考核，非常严格的考核，你才能加才能加入。就是一方面来讲呢，是就是你要有熟练应用科技资源的能力。嗯，那另一方面来讲，就是说你的理念是否有这个团体契合。对对对啊，这两方面的考研，这个就是大家可能都有都都有体验。就是说那个你的 QQ 群里边总会有那么几个小圈子。, Start Time: 711930
Text: 嗯，对嗯，实际上是这样一个情况，嗯，玩家们游戏里也能够体验到加入兄弟会有是是困难，不是很简单的，严肃的时候是很困难。对对对，嗯呃尤其是兄弟会呢他始终保持一个高大上的状态。对而他们的崇高的理念还是非常的正义和正能量的感觉。对，就非常高冷，高冷非常高冷。对，非常专注。, Start Time: 731340
Text: 我也知道任何一个组织，不管是什么样的组织，当他发展超规定程度之后，他如果不进行改变革，他腐朽的东西最终会取代他高尚的东西。他们维维斯和三代其实实能感受受到这个这态就是兄弟会黑化的这样一个强黑化。听对对他这个兄弟和黑化其实经历了很多废情。这个最早呢我们知道兄弟会在辐射的里面是一种救世主的形式，, Start Time: 753880
Text: 他们帮助人们攻打超级变种的人嗯和超级变人打仗，最后击败了超级变种，拯拯救整个废墟，他们是一个非常正面的形象。对对对，在辐射二里之后呢，他们就开始变得非常闭塞。因为他们很快就发现废土上越来越多的人掌握了科技，嗯，啊这他他的渐变。对对，这个他的理念相悖了。对，, Start Time: 776280
Text: 那他们就越来越闭塞，越来越变得他们更宝贵的东西，越越不愿意跟别人分享。对，那个就是一个特别典型的例子，就是你在辐射二里边，那么你在三分市会遇到就是那个兄弟会秘密基地。嗯，但是呢你必须要就是拿到分享设计图，然后才能够进能进。对对，利用你它实际上是一个利用的这样的东西。, Start Time: 793980
Text: 对，然后兄弟们还有一个重大缺点，就是因为他们实际上是一个由军人建立组织，他们对自身历史的传承很不在意。嗯，很多兄弟会新的成员慢慢都淡忘了自己。当初是为什么建立兄击队？嗯，就是所谓背弃的这个初心。嗯，对，以至于到了四十年后，当兄弟会跟辐射一主角一起打回这个莫里波特军事集体打教主的时候，, Start Time: 815450
Text: 在场的大部分兄弟会成员居然都还没有意识到这个地方，就是他们出来。对啊对对，他们就是忘记了诞生的地方。对对对，他们都把这些都快给淡忘了。嗯，这最后就是这个这个呃兄弟会闭塞行为，导致了兄弟会分裂。对兄弟会的分裂是有非常有意思的。兄弟会分裂。因为我们知道辐射游戏经过两个重制组，, Start Time: 840450
Text: 所以他们在游戏剧情上要稍微有一些出入。嗯，我们在不算上几个，就是所谓的这个支线剧情，就包括主机版和战略版。我们就光说我们的振作，四个振作里面，兄弟会分裂就分裂了两次两次两次。对对，是的。第一次兄弟会分裂，就是由利昂我们知道辐射三里面那个角落那面红色动力装甲的那个哦，, Start Time: 860810
Text: 不是不是不是，是那个红色的动力装甲是 outcast 奥特卡， ast cast 是就是说放逐对利昂，就是那个慈祥的那个大爷利昂对昂，就是那个他们自己那个他们在就是东部开拓过程之中，就是发现那个兄弟会的宗旨和他们想要做的事情并不一样。嗯，啊那么他们转向保护废土，, Start Time: 882310
