Text:  hello，大家好，现在是北京时间。上午十一点，欢迎收听集盒游戏频道加油。 new ws 节目，我是 jerry。大家好，我是麦克小五，现在都没有前面准备直接开始录。没有现现在个剧流流水不想录，就是想回去玩这个博德三三 hello CCO 应该是狂狂玩。, Start Time: 31600
Text: 最近这个游戏啊狂玩了三十多个游戏。对，但是呢第一张图完全推不动了，应该都推完了吧，三十个小时没有，就刚打了地精那个地儿啊，你才刚到那儿。对我刚到这儿，那我也不知道为什么，甚至还没有进入那个大战是吗？对啊对，然后地精不是要杀三个地精的首领吗？对对对，然后我特别不想直面战斗，, Start Time: 54160
Text: 然后我就想有没有其他的这个方式，嘴炮的方式。对，但是就我的思维已经被固化了。嗯，就是有时候就我就看他们那个玩伯德不都说有好多那种稀奇古怪的招吗？但我感觉也我怎么就玩不出来呢？毕竟你们都是直接干死的，我是这个双双向间谍，什么叫双向间谍？就是我是不会不会会会剧透透啊，, Start Time: 77310
Text: 就是是略略微微透透。朋友们微微微剧微透微透一点，微透一点，就是大是是是会毕精坏人那边他们会想要找到那个嗯啊你是知道那个题哪哪了，所以你就可以呃相反，就你就知道他们一定会来，所以你就提前做好准备，埋伏他们，然后就可以比较轻松的完成战斗。你说是那三个地精都都去吗？, Start Time: 98650
Text: 不有一个有一个人他是目标，就是要干掉这个啊。对呀，但我是临派的呀。是，但是因为他是直接读你的脑子哦啊，所以你就索性我就把这个地点暴露了，然后我再快点赶到那个地方，然后我再提前做好准备啊，就这么个打法，反正非非常好玩，我操。然后那个 steam deck 的这个体验也不错，, Start Time: 118570
Text: 也非非常好，因为他官方支持了这个手柄的布局。嗯，然后用 steam deck，我出差的时候嗯玩了一下，然后感受还是非常好的。然后 b 站上其实可以搜，就是关于就是怎么优化那个具体视频配置的 steam 的对对，调整方法。对，然后有游戏 deb 站 up 主发这个，, Start Time: 138800
Text: 然后你可以试试，就感觉还行。嗯，虽然画面没有那么的精致嘛，对，但是我觉得就是也是一种不错的体验，而且手柄配置都特别好。而且这次博德之门三的手柄那个优化特别棒，就是把把 UI 剪到巨干净，所以特别舒服。嗯嗯，既然说到这个了，就是伯德之三最高高同同时在人数之之前已经破破八八十人人，, Start Time: 157900
Text: 然后后列了 steam。同时，时线人数排行榜的第九历史就是历史。排行榜就不是说短期内的一个排行有点夸张了。他是不是属于远超拉瑞亚预期了，这这绝对绝对是远超拉瑞尔。他如果是这个电线人数的话，那推测他的销量应该肯定超过五百万了吧。应该嗯现在不确定，我觉得应该有了，, Start Time: 180380
Text: 毕竟卖了三年了。对我我也想说，这不都 EA 那么长时间了吗？然后正式发售了以后，突然哎为什么呀？你们你们感觉是为什么他能这么火爆啊？是不是有一些比较出圈的？对，这个小五上次了，听听懂，对我没有知道了。就除了那些还有日本的熊什么的，还有还有什么呀，就是就他出到什么圈了，, Start Time: 201230
Text: 我想知道这个或者是不是也可能最近其实没有什么太多的游戏选择，大家就是哎听。但这种情况很多啊，但是我觉得这个游戏就凭什么是他。首先他是这个这个类型里面规格最高的，这个是大家都都认同的吧。就是我觉得从制作上角度上来讲，嗯，而且这几年 DND 就是很火，但跑跑团这件事，, Start Time: 222750
Text: 这几年就是又又复兴起来，他成了这个最后一个推上来的一个作品。我觉得我希望大家能在评论区解答我的疑惑。嗯，我我真的就我我特别想弄明白这个事儿，就为什么伯德之门三在 EA 三年的之后，然后正式发售之后，嗯，而后这么多人突然间一拥而上，对，然后开始去玩这个游戏了。, Start Time: 244370
