Text: 他们说的我们聊的都是你们最想玩的，刚知道的才公布的，全是本周最热门的，欢迎收听机核网新闻节目。 judue news， and you don't seem to 你随的所味再去。大家好，欢迎收听新一期的家油游戏新闻节目。我是大家大家好，我是新总部。大家好，, Start Time: 4080
Text: 罗马，我是四少二，一周又过了了。哎，这歌终终不是是电的了，是也不是说唱了啊，这回摇滚不容易啊。呃，但是这个听到这个歌曲呢，希望大家去看一看这个这个用这个歌曲当做开头曲的这个动画。你真零音音非常推荐知常好。当然这个不是二次元新闻节目，所以就大概说一下。嗯，我以为你是为了身体原因，, Start Time: 53050
Text: 最近听了音乐缓和一些，不是不是，是这个摇的频率慢一下，就今天突然就想放一下这个东西。你那天住院的时候啊，他们让去看你来着啊。我想说，那我给你带点带点东西吧，然后说买两买两瓶老干妈的个你那个不容易，可以，一瓶内服，一瓶外服，一瓶内服，一瓶外服。行行行，可以啊。, Start Time: 74570
Text: 然后游戏新闻节目还是这个统计一下这周的新闻。好嗯，哎一个一个说吧。好，然后第一个呢是这个炉石传说之父，这个 unben broard 呢成立了他的新的工作室，嗯，啊叫做 second dinner。哎，夜宵宵。对，嗯，然后就是什么什么的惬意啊， second d 传啊，, Start Time: 97470
Text: 第二夸。对对，然后现在是跟这个漫威打上了这个合作。是啊，对，有这个漫漫威的一些这个 IP 的版权，可能然后对这出一些相关的作品。操，我操，漫威传说我操太牛逼了。我跟你说这个漫威传说，那时候反正他就说了嘛，其实第一款作品也是拿到了这个授权，所以肯定是一个就是这个以这种官方形象授权合作的这么一个作品。, Start Time: 118370
Text: 但是具体他没有说没说游戏类型，可是这应该差不多都知道是是个啥。其对漫威这边好像还挺热衷于在游戏这边搞一些事情，做一些衍生的一些其实一直在不停的出手游啊，什么都按和各各大厂商都在搞合作的。对我觉得这个卡牌游戏真的是他们可以考虑的一块是是这个新领领域开拓拓下是其其漫漫之之。, Start Time: 144610
Text: 前些些戏戏就那种合合作制乐是是还他不如就直接就做个卡牌牌挺的。对对，操他妈没抽起卡拉聊聊得了要人命啊什么的那是行。回头再看一看他们这个 second dinner 这个新作到底是什么？而而且毕竟其实这次上没刚对外宣完了嘛，他有多的东西西是在前前的的贯阶段。, Start Time: 164130
Text: 但是他也提了说现在其实有一些初期的东西，可以实际际际的跑一跑，他们就是原型做完了。所以所以那天阿斌也说了，说你看这个这么快就能自己开始跑一跑。那除了卡牌游戏，应该也是没有别的形式哇啊，期待一下，期待一下，对，祝开发顺利啊。好，然后继续下一个新闻，是这个 everything 啊，, Start Time: 183540
Text: 这个游戏是之前提到过很多这个世世间物物呢啊已经登录 NS 了。对，现在对，然后之前在 steam 上没有舔过的朋友可以买一个 NS 版，而且 NS 里边也加了一些新的内容啊，就是你甚至可以变身成为一台 NS。哇，那预告片里边挺逗的。 everything。, Start Time: 203920
Text: 对对对，日本名字叫啥呀，他也提了是吧？哎，日本我还真不知道叫啥，一般一般就是那片甲名拼一下啊。对对对对对，嗯，行，然后继续呢是这个关于这个英伟达的一个新闻，哎，好个 RTX 二零飞船正式公开了。对对，然后这个售价是三百四十九美元，一月十五号马上就挺牛逼发售了。, Start Time: 221360
Text: 嗯，对对，六零零这是这个来来来啥呀？来了来来了来了。嗯，好像这个之前那个巴系它这个挂八的这个这个算是旗舰级的线，二零零八零倒还没有那么顺利吧。但是这个二零六零所所就是差不多类似这个高性价比产品线呗。嗯，对，这个价格格确实很公道啊。对，所以说三百五十刀是挺牛逼的，, Start Time: 246920
