Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友。你再也不用担心被节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散。, Start Time: 27710
Text: 对对对，来来大家好，欢迎收听最新一期的嘉丢 pro 专题节目，我是西蒙，然后坐在我旁边儿是大家好，我是四十二。对，然后今天呢我们给大家聊一个话题啊，是之前我们从未涉及到过的是一个特别虚拟的话题，就是这个 VR 虚拟现实。然后今天们们可聊聊的比较浅显，就是因为很多玩家对这个虚拟现实 VRR 的概念，, Start Time: 70135
Text: 可能至少目前来说，虽然已经火了几年，但是可能还不是特别的了解。然后今天我们请来一位嘉宾嘉宾可可以自我介绍一下。大家好，我叫台伯和，我是虚拟现实从业者，也是一个核心玩家。大家好，台伯和是吗？对，没错哦，这个名字还是感觉挺文艺的，挺文艺的啊。对，然后我们我们这伯河嗯，, Start Time: 133290
Text: 台伯河是一个从业者，是 VR 这个行业里面。然后今天我们请他来呢，也是想从这个技术或者市场层面也多了解了解这个产品。然后我们我们我和四十二呢可以从游戏的层面呢给大家说说。因为我们之前体验过一些 VR 的游戏，然后可能能给大家稍微的讲一讲我们所体验到的这个感觉。, Start Time: 157880
Text: 所以今天呢我们这期节目就是浅析 VR 吧，可以交流，好好说一说这个。对对对，好好说一说这个，然后我们选择比较轻松的音乐啊，都是 life stranger 里面的原声。然后我们从何说起呢？这个话题我觉得要不然就是 VR，我们就啊走一下这一年好了。对，说说最近的事儿。, Start Time: 180240
Text: 对你看二零一五年到十二月份之后，我们可以确定的说这个 VR 肯定是一个潮流。对，而且一六年将是一个 VR 大年。对，因为十二月份我们这个 PSX 这二零一五嗯，然后这个索尼给了很大篇幅来介绍各式各样的 VR 游戏。对，这个没错。当时我记得是在那个锐气的叮当之后，, Start Time: 215650
Text: 然后加入了一段这个 PSVR 的演示。嗯，这个演示其实有傻傻俩人在台上对着丢圈儿，嗯，有点类似躲避球。嗯，套圈那对，就是套那个丢来丢去，然后你可以躲打到对方。这个我们当时观众可能有点傻，但是还是挺惊人的。因为它涉及到了一个交互，嗯，就是 PS 幕和这个 VR 这个交互这个功能。, Start Time: 239910
Text: 然后还有一大堆游戏，比如说什么脑航员的 VR，他就把一些大作里面的一部分，什不是都都把 VRR 了，一个最炸裂的是那个就就是黄牌空战。嗯，黄牌空战七是支持 VRR，然后后其是个很大的的一个这个。对，没错，就是黄牌空战。其实 VR 我觉得是个特别合裸辑的一个事情。, Start Time: 263035
Text: 就是我以前就很经常的说，就是黄牌空战什么时候出一个 VR 版的，特别对，就是这些战游戏戏来来合理理。对，特别特别爽。嗯，所以就是呃既然索尼已经拿出这样一个态度了，就可以说我们进入了 VR 发展的，其实是另一个黄金年代。对我觉得是索尼把这个 VR 带到自己产品线里面，, Start Time: 285350
Text: 可能让特别多的玩家们认识到这个 VR 的这个概念。对，然后但是其实呢从很早以前啊，其实早早了往往前说，其是是打开对 oculuoculus 开启，对，开启了这个时代。对，但是那个时候可能是更面向开发者一点，他对玩家们吸引力还不是那么大。然后呢，今天呢不妨就是从最早的这个 VR 的历史讲一讲是怎么回事儿。, Start Time: 306550
Text: 这个概念可能要一直往前说，一直往前说。其实所以说 reality 对吧？这个一个应该是对 virtual reality，其实说实话人类的梦想嘛，人类总想要脱离这个现实到一个另外一个现实中去。然后后来他们有了技术手段之后，就就很自然的就特别自然的就是说是就是发展出了 virtual reality 这个技术最早的 VR 的眼就是头显吧。, Start Time: 330490
