Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友，你再也不用担心被揭目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散，, Start Time: 27700
Text: 没事，那个人你们谁不人去？ riskking years， sir 新在今天眼只烟应该是可以 why you give 随着游送。大家好，欢迎收听最新一期的家迪欧 pro 专题节目，我是西蒙，对我是麦教授。对，我们听到这个特别特别欢快好听的美国乡村音乐呢，, Start Time: 69325
Text: 我告诉大家，这一首是叫做 what would you give 啊，这个作曲者的名字叫做奔比的，他是呢这个来自肯塔基零号公路这个特别优秀的独立游戏中的原声是不是麦教授？呃，没错，这个他是本身是那一个在芝加哥的一个独立音乐制作人吧。然后他和这个游戏呢游戏制作者找到他，, Start Time: 124130
Text: 然后他有另外两个本地音乐家组成一个叫 babbad car primber 名字棉棉被漫步者这样呃算是一个兰草风格的一个乐队，偏兰草风格这么一个乐队。嗯，然后 bn 芭比的本人，他自己是可以，他他不仅能驾驭这种类型，他也能做一些像这个后摇啊这种电子风格比较浓郁，, Start Time: 146790
Text: 就像大家之后可能会听到一些音乐那样的风格呃，东西。嗯，对，太棒了。最近麦教授一直在做这关于肯乃基零号公路的视频解说嗯，是不是？是的对，是没错没错。然后后来接触到之后，就是这个游戏本身它直接很多程程度上它颠覆了我本对游戏这个媒介的认识吧。就是你会突然觉得哎就是挺有意思，, Start Time: 167230
Text: 感觉游戏有很多很多的可能性啊，它可以是一这么一个样子，它可以是像俄罗斯方、俄罗斯方块那样的，他也可以像是战神这样的，嗯，啊，他也可以像是肯纳吉尼号公路这样的，让你产生了很多想象，是不是？对，没错。嗯，所以这个我就想到了，就要讲今天这么一个话题。就是对也关于游戏啊做一个就作为一个媒介，, Start Time: 193420
Text: 嗯，做一个媒体，他在整个就是我们这个人类的这个媒体发展史上，他应该是怎么一个地位呢？他会是怎么样一个地位，未来会不会成为第九艺术呢？是对，会不会真的是一个第九艺术，还是现在？对，就是这是我们今天想要探讨讨论的这个话题。对，就是这个话题其实怎么说呢？老实说其实挺大的，, Start Time: 218590
Text: 而且比较不好论证，因为就是也比较有争议。嗯，所以就是我今天也只是说呃站在我比较个人的这样一个角度上啊，给大家做一个小小的解读。就是也对也欢迎大家之后来讨论啊一起探讨。对对，中间难免会有一些谬误啊。作为西蒙，对于卖萌组合的我来来说，其实对麦教授的观点并不一定非常认同。, Start Time: 239350
Text: 但是我还是会配合你把这期做节目做好好吗？行，好的，我们把这个歌曲听完，然后准备开始 OK，突然间雨水中游戏好，梅教授嗯， OK。好的，那我们从何说起从何说起呢？我首先呢我得先对吧？稍微学术化一点啊，稍微严谨一点。对，首先啊在我们展开讨论之前呢，首先要说一下啊我们艺术来说啊，, Start Time: 264940
Text: 其实它的怎么讲呢？比较难以定义吧。那我们按照基本比较现在比较常见的啊分类方法呢，我们可以把它分成基本分成这么几类。嗯，啊文学这是一类。比如说啊学诗歌小说，对吧？这是文学中间还有视觉艺术、视觉艺术，当然就包括文学艺术术这这种视视觉艺术。嗯，啊因后还有表演中，, Start Time: 297720
Text: 对啊，其中包括舞蹈啊、戏剧啊、音乐。嗯，对，当然然有有音乐，也算做表演的艺术是吧？对，算是表演艺术中间的一个门类。嗯，那么就是啊这个但是这个分类呢其实并不是那么绝对的。嗯，呃因为它中间间其其实多多格格啊，它可能会经常会有混合。比如说诗，我说影这个东西，你看这个最早其实是中国的诗经，, Start Time: 319380
