Text: 傻逼哟动作格斗 RPGG 桌面策略 ACTB。如果你有想说的，一定会有机会说出来，家底有与你一起展示你的游戏。人生冲撞刀光子弹灰灰告白魔法，各种雷物理画面都是美美，没有话题，你来给啦，重新填迂回不？大家好，欢迎收听加 dual pro 特别新的一期加 deal pro 节目啊，, Start Time: 1370
Text: 我是新龙。哎，大家好，我是辛总夫。然后今天我们的这个主题特别的专业和核心。因为我们今天请到一位一直远居海外，而且也一直任职于大公司的一位游戏制作者，他的名字叫南塔斯，请做自我介绍。呃，大家好机和网的听众朋友们，大家好，我我叫南塔斯，我曾经是一名主机游戏的关卡设计师。, Start Time: 62390
Text: 哇，太厉害了。对对，我觉得咱们的节目越来越核心了。自从 GDC 回来以后，对全都是关于游戏制作面面话题。嗯，对，真的是南塔斯是一直听我们节目，所以我们才认识的啊。对，但是我们是玩你设计的游戏长大的。对对，我就就那次听到你就在微博上嘛，看到你们有提到那个，我也觉得挺挺荣幸的。, Start Time: 89630
Text: 嗯，完了，今天我们因为之前就一直在，一直就大概从八月份嘛开始听集合网，然后就觉得特别好听，然后一直就特别好听是吗？对，是特别好听，然后就一直往回倒着听，都听到一零年了吧，大概我靠，太厉害了。原来是你我玩我们玩你游戏长大了，你听我们节目长大的。对对，就是这么回事。, Start Time: 116575
Text: 嗯，那这一次我们准备了这个两期节目啊，因为南塔斯是一个关卡设计师。然后我觉得但是大家除了关卡设计以外，话题我们可能想让南塔斯在这一系列面给我们讲讲他的一个从一个从一个制作人的角度来聊聊关于游戏幕后的一些事儿。对对对啊，组织起来组织的真好。嗯，对，嗯，那南南纳斯是是从小什么时候是一直喜欢玩游戏，, Start Time: 143670
Text: 所以走上这条路的吗？对，其实就听你们之前聊的那个像什么包机房啊，包括那个第一台主机什么的，基本上我也就跟大家也差不多，都是玩 FC，然后玩街机，然后又玩电脑，玩 PS 这样一路过来的，就基本上二十年游戏灵嘛，嗯跟跟大大概就是八零后玩家们都差差不多。其实我觉得二十年一好像是个坎儿。, Start Time: 173400
Text: 对，嗯，是有的人就走了，有的人就留下了。对，嗯，但是还有更少一部人像南哥这样的对，就坚坚守自己的理想，然后成为游游戏制作者。对，弄个红星社什么的。对，当时也比较幸运吧，因为就是我大学其实学的就跟这完全没有关系的。没关系，化工方没关系，化工方面的专业。当时如果学个计算机编程什么的，, Start Time: 202330
Text: 可能后面都会更好走一些吧。但当时就是呃大学专业学的也不是很好。然后但是那个快毕业的时候非常幸运，就是参加那个上海育碧，在我们学校那个招聘会。然后哪个学校那时候候这我也好奇，哪个学校方便透露吗？呃呃，浙江大学浙大对，浙大是不是挺门槛挺高的呀？浙浙相相当厉害，, Start Time: 228670
Text: 苏苏州。嗯嗯，对，而且浙江那边错，苏州苏州的那边好像是不是都是对这个动漫游戏产业还比较那个。对对对对，这叫支持类。对对，后后来就那边发展就比较快，包括杭州嘛，杭州那个动漫产业非常的大。嗯嗯，当时也是因为离上海比较近，所以那个有那个预必过来招聘的一个机会。嗯，, Start Time: 256410
Text: 然后就是关卡设计这个职位嘛，就他跟别的不一样。你比如说你招程序员或者招美术，你可以看他那个专业做计算机专业专业的那个水平怎么样，或者说你画个画，弄个三 d 建模什么的，看看水平。嗯，关卡设计当时就就零几年、零五年、零四年那会儿还没有什么游游戏学校。但是现在就很多了，, Start Time: 281330
Text: 像现在的游戏学校就比较多了。嗯，就是里边有各种游戏设计的专业。当时的话像招设计师的话，基本上就只能看你玩游戏玩的多不多。然后对游戏有没有见解这样哦，那当时你还记不记得你当时怎么面试的呀，说的什么呀，游戏啊，都当时当时先是笔试嘛，笔试题里面就各种什么问你微软的主题叫什么任天堂的主机，, Start Time: 307510
