Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友。你再也不用担心，本节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散没了。, Start Time: 27690
Text: 嗯，大家好，欢迎收听最新一期的家 DO pro，我是西蒙。然后今天呢我们来大家继续做一个科普类型的这个专题啊，也是一个非常有悠久历史的游戏。就是最近我们新出的这个 IF 的这个系列叫做火焰文章系列。然后今天呢我们请来几位嘉宾听这位做自我介绍。呃，大家好，我是吐槽艺的墨飞，, Start Time: 82115
Text: 吐槽艺男达。嗯，莫老师大家很熟悉了。然后这这位呃大家好，我是那个隔壁窗户的透明明马马德德玛是嗯不是透明人，但是今天主讲并不这两位今天主讲是大家好，我是罗伊 SD，对罗伊 SD。嗯，圈内大大嗯嗯是一位染着红发披着蓝色披风的神秘男子。对，那么今天呢我们这个上期节目啊，, Start Time: 138830
Text: 我们觉得可以先从头开始说，就是让很多可能不属于火文的朋友们了解一下这是什么样一款游戏。哎，火文是不是算是这个就是他他什么类型啊？算是它是一个战战旗类角色扮演游戏啊，嗯 SL 混合着角色扮演。对，那他这个就是他这个已经算是因为他是八十年代的游戏了。对对对，那他算不算是这个首创，, Start Time: 165170
Text: 当时他是属于这个 SRP 的鼻祖鼻祖。对，当年是第一座第一个。嗯，对，那他他就就是因为那个时候好像还有一些其他的，就是也不是说跟他同时期，就是我小的时候，嗯，因如还有什么梦幻模拟战之类这样的游戏，对吧？也是战旗的那就是火文。它最大的特色都有什么呢？他的系统比较完善，, Start Time: 192860
Text: 然后他的人设比较美型，然后就是说深奥还有一个非常深奥的剧情，嗯，然后有较高的难度，这是他的一个四个要素。嗯，然后同时也是要素对被誉为就是 SRP 的这个金字塔之风。嗯嗯，对，金字塔之风，也就是说这游戏牛逼到极点了，他也是属于就是每一代之后就是逐渐的一个完善的一个状态。, Start Time: 215640
Text: 对，嗯，但是他在可能在初代的时候，第一座的时候，他就已经就是说能把这些元素都集合到一起了，开创了几个独创元素。对，都有什么元素。咱们可以在这个聊这个历史之前先大概介绍一下。我觉得嗯比如说斗鸡场啊、嗯嗯那个红蓝骑士啊，以及是老骑士等等。小红骑士小红小绿，就小红小绿，, Start Time: 238880
Text: 就是就是红绿就是代基友啊，还有一个时候不能附附身的一个系统啊。对对对，就白白头发系统白了多少玩家头发。对，就是他他为什么说他这个是这个超高的难度呢？就是就是就是刚才说的，就是人死了就是真死了，步步为营，真是被砍一刀的心疼啊。现实非常残酷。对，尤其是你就是花尽心思去培养那么一个角色啊，, Start Time: 260690
Text: 你觉得你就对他倾注了各种各样的感情，他突然间他就被人一一刀给秒了，就就再再也不不到了，就再也见不到他了，再见不到啊。然而在在关关节节段，他突然站出来说话。对，突然是之后人来逗我妈的。其实这个主要就是说培养玩家的一个代入感，对，这是很多游戏很难做到的一个东西。, Start Time: 284950
Text: 因为他毕竟它还是有 RPG 的一个要素。对他有故事在跟着里边啊，不在那年代做出这么一个行为，也真是挺敢拼拼的，玩家失失率一挺高的。我我觉得要是在现在那个时候候般那个时候属于一种也算一种，也也算一种核吧。但是他是一种粗创嘛，大家可能觉得这个东西就应该对啊，可能就应该这样就跟你下象棋实子儿丢了就是丢了。, Start Time: 306140
Text: 对，现现在也用不了他，因为那个战棋棋。对对对对，就以战棋就是从棋过来的。对你必须得死，你不能会死就不是棋了。对不能并不能毁棋。对，并不能混。既然大家都说到这里了，那为什么不提到一个人呢？嗯，就是他的就创始人对加鹤招三嗯，其实火焰纹章他这个东西这个作品很难得很难得。, Start Time: 326140
Text: 就是说当时发现这个其实应该视角发现，就是说当时江鹤昭生是在接收一家任天堂投资的一家美国公司，他破产了嘛，对，小公司破产那时的嗯，然后他在角落边发现了一本书，一个企划案，对应个对一个企划案啊，落满灰尘的一本无人问津的企划案。只有那块发着金光火际眼圈见了就是说白了说白了可能就是去接收一下他们那遗留的一些东西。, Start Time: 350770
Text: 对，嗯，然后可能确实是没有人看，那可能也也落满灰尘之种种。那这家鹤赵三其实就是这个就算是火纹之父，对火文之父。嗯，当时他去接收这个公司的时候，在任天堂是什么一个角色？应该属于就是制作人级别的一个角色吧。对档也是一个制作人。嗯嗯，当时在八十年代初期的时候，就是相当家用机的游戏软件相当匮乏。, Start Time: 378560
Text: 嗯，然后就是说等于是一个新兴行业在开始开始的时候呢，就是说很缺乏这种类型的题材游戏，这种类型的题材游戏其实也很难得。就是说当时他在发现这本就是启划案的时候，他就觉得非常有意思。嗯，然后他就把他带回了日本。嗯嗯，合着这个企划案是等于说从美国过来的，对源自于嗯融合了。, Start Time: 404785
Text:  d 际上是个美国游戏，不是日式游戏，对美之坚游戏。其实当时你看它的剧情，其实也都是偏西方式代。对对对对对，全都是剑与魔法和龙论。当当时日本其实流行一种桌面游戏，就是就是成长性的一种非常强的一种桌面游戏，相当于现在 DND。嗯嗯，然后呢，同时他又把这个将棋的一个走格子类型的游戏玩法和这个融合了 DND 融合了一些人融合。, Start Time: 428580
Text: 其实其实你想就是正好在他去收购美国公司的时候，嗯，其实那个时候正是 TRPG 有非常蓬蓬蓬勃的时代。嗯，就是 TRPG，它里面因为就有很多这种剑与游戏，还有龙啊这种这种设定嘛。嗯，然后同时他还有这个他就争这一批玩件啊，也是对，有可能它的传统游戏戏为什么它就是我瞎说啊，, Start Time: 454460
Text: 他不是源自于这个美国嘛，嗯所以他们当时可能那个那个年代正好也是把这个 TRPG 往这个这个游电子游戏方面。对，就是转化的那个也是差不多是那个时候哎，我稍微打断问问一下那个时代之前有没有 RPG 电子游戏呢？其实 RPG 是源自于 TRPG 哦，这个概念包括人物设计，, Start Time: 477940
Text: 就是那个电子游游戏机上这些有没有这个真正就是说人在迷宫里走的这种我们所一眼能想到的 RPG 的有了有了是有了。对对对，这个还是西方比较早一点啊。其实 RPG 一直就是说怎么说呢？其实这个游戏一直他都是有一个剧情的，他为了就是说让玩家给有代入感嘛，其实都是有剧情的。, Start Time: 502160
Text: 对，是有剧情的。对，然后就是加贺召三把这个东西带回日本之后呢，同时还有另外一个两个人要提一提，就是陈广通和一个听天里这两个人，就是后期就是为火文的那个完善和发展做出了巨大的贡献的理念。嗯，也是他们把这个东方的这个理念和西方的这个企划结合结合一下，结合一下很成功。, Start Time: 521960
Text: 他们当时有一个就是公司呢，也是属于任天堂指挥社，就是实际上那叫 intelliggent system，一个就是共 intelligent system。对，那挺挺不容 s 嘛。对，那一个周字的叫 SS 会，嗯嗯，就是任天做就是专门做这个火文的这个作的机略。, Start Time: 546150
Text: 嗯，所谓就是说呃三个臭皮匠顶个诸葛亮，终于把这个企划改了又改。嗯，然后一步一次性通过六年二审核哦，那挺不容易的啊，任天堂那会审的还挺严的。对，当时这个这个企划是大概八七年的时候发现的。对，然后大概研发总共时间大概两年多一点点嘛，正式发售是九零年的，大概是四月二十号左右，, Start Time: 565490
