Text: 嗯嗯嗯嗯，推敲每一道笔触拆解每一个画面。饥核网独家呈现漫画家 CMJ 的专栏电台无稽之谈。以抽丝剥茧的剖析与真诚坦率的讲述，和你一起读漫画史上的经典名片，加入饥合网会员计划， g pass 即刻收听无稽之谈。嗯，对对哒是的， just sare up 随意小猫想各位听众大家好，, Start Time: 720
Text: 欢迎收听加里奥评书联播节目，真人快打演播人白广大。那没咱俩什么事儿，咱你走了，我我这就走，我这就走啊，假装自己是个采样啊。大家好，我是龙马，大家我是宋大白，我是老白。嗯，报完幕了，结束确实啊，今天的节目就到这里。对，咱们这是第七讲了。是的啊，这个故事的第七期。, Start Time: 89000
Text: 嗯，虽然说前面断更了很多啊，完全忘了为啥呀？问谁呀谁呀？哦，你问谁呀？要甩锅呀？啊，在那个正式开始之前，我先说说这首这首开场曲啊，啊，这还有这说啊，这是那个 magdise 跟那个就是真人快打的一个就是混彩，是 almost honest 啊。有有兴趣的朋友可以就是去听听这个原曲。, Start Time: 111580
Text: 嗯，他混的非常漂亮啊，这个就是啊是作为我们这个篇章重启的一个就是开场白啊，我就是瞎选的，但挺贵的啊，可以，这个非常开心，为什么不录录事儿就差过去了吧。是的，哎，就别提了啊，你就就就大伙儿把这事忘了就完了啊，想起来就录呗啊。至于说是什么那个 diath 啊，, Start Time: 135490
Text: 什么那个就是飞碟啊什么的啊，我不存在这事儿，我都不记着啊，什么时候有空完，什么时候再说啊，我们先进入这个就是定场诗环节啊，反正现在五点钟了，赶紧录完，赶紧下班啊，您请好啊。这个杯中无酒难尽欢啊，手里有钱，赛神仙人笑人歌芳草地诈行诈雨杏花天终日摸鱼醉尘烟，真人快打啊，, Start Time: 157220
Text: 再开啊，三人成形录音室偷得浮生半日间。好好哎，好，是一个混字啊。是好，你这还跟我发给我这版本还不一样，你说是呢精心的修改，你还看着我都混过了十五分钟啊，可以了。嗯，好，上回说啊，咱们说到你俩爱记着不记着啊，反正总之是那个上回书，咱们说到啊。好嘞，这个公主主他娜呢亲龙潭的发现自己并非是父王少康亲生骨肉。, Start Time: 182010
Text: 好，哎呀，这是一惊惊天秘秘哦，结果发现吗？哎，被打入了地牢关押人，让你发现你才能发现嗯，对吗？故事进展到那儿，你再往后看啊，录这么多期了，咱们也知道，就真人快打这个故事，他是完全不需要讲究任何启承转合的逻辑。哦，让你干啥你就干啥，说你不是亲生，你又不是亲生的，, Start Time: 210230
Text: 看着他也不像像不像是亲生的呀。那另说所有人都能能看出这事儿怎么就好几十年没发现呢，是吧？是可说呢哎他这边进了大牢，不说跟他情同极美的这个侍女这的呀试图前去搭救。但是呢奈何对方是人多势众啊。俗话说这个好妹子不吃眼前亏啊，加上公主劝阻，他说你赶紧逃出升。天呐留得青身在不怕没柴烧，, Start Time: 231920
Text: 这才是脚底抹油，走为上策，这这的跑出了地牢，一路上急急如丧家之犬，惶惶如漏网之鱼啊，好不容易跑到了海滩之上啊，甩开了追兵。哎，这才稍微喘了口气儿。这一想起来，这公主是深陷囹羽心如刀绞翻滚呐，心说，哎好极美啊。曾一何时你也是这个金枝玉叶的身份，贵为外界的公主。, Start Time: 258080
Text: 如今却沦为了阶下囚，嗯，世事难料啊，怎么是一个惨字能形容的呀？啊啊，你也有今天你还能吓出来啊，不容易啊，这个情绪感觉很复杂的是呢这个时候天色阴沉，海边巨浪翻滚呐，这的左右看了看四周，无人心想啊，留得青山在啊，先彻底离开这个魔窟再做打算。这个时候呢，他本来以为自己已经安全了，, Start Time: 283790
Text: 谁知道身后响起了一个阴风阵阵的声音，听着仿佛就是指甲挠玻璃啊哇，这个声音和语调都非常不自然啊，怎么地了？姐姐，你这是要干嘛？去？好，席老师出来了，席子老师来了啊，这个打了一个冷战，猛一回头，这就看背后远远走来一位紫衣女王。哎呀，乍看这位呢就稍微赞一下啊，毕竟也是黄黑战排名，, Start Time: 314140
Text: 前面的不赞不合适又有儿了。哎，所谓说青女宿娥俱耐冷，月中霜里斗婵娟，身似柳絮，随风摆，举步婀娜赛天仙。问题是呢，这个字儿他夸的都是人的身形，嗯，没法夸脸啊啊啊，为什么呢？这位妹子一步三晃到得了这个近前，这个就感觉非常奇怪呀。这个女子怎么看起来跟我们家公主的状态，, Start Time: 339940
Text: 那么像呢戴口罩啊，而且此女虽然身段诱人呐，穿一件高叉中弓的忍者装束，但是这脸上戴着一个乌漆漆黑沉沉的面具，把脸盖的严严实实。这这个一看来者不对，嗯，厉声喝道说哪来的妖孽啊，只见这女子哈哈一乐啊，说这个姐姐你得留步。嘿，你得跟我回去，我亲姐姐看见你这不乐开话了，, Start Time: 368460
Text: 他这话说着啊，走的越来越近，这个这才看清楚。此女的瞳孔犹如蛇眼，一看就不是个善茬，那不由得打了个冷战，当下就拉开架势，说公主哪有你这么个妹妹啊，休要口舌逞强啊，你给我拳脚交心，听众是知道的啊。这位就是上一次在公主被地下室里边发现那个改造人米丽娜是上次他跟公主恶战了一番，, Start Time: 395425
Text: 最后被打败啊，但是他这边有这个改造科技加持，再加上公主被羁压在这个大牢里边，他这边玩玩的就是个李带桃浆的把戏，眼下披挂整齐啊，虽然说这个整齐也没见得多整齐啊，没没穿多少衣服，属于是，但好歹是穿了，总之是这一身出来追赶这个两人当下，这就站在一处这个把手里。这只长棍虎的时候虎虎生风啊，, Start Time: 422820
Text: 但是这个米丽娜也不是省油灯，只见双手一合，是伙里多了两只冷森森冰闪闪的兵器啊，乃是一对分水峨眉刺嚯啊。但是他身上这个布料加起来统共也不够，做一口袋的，也不知道从哪掏出来的。嗯，就是某站上排名靠前的搜索关键词，那不是浪得虚名啊，眼见得这两女在这海滩之上打的是不可开交，, Start Time: 446559
Text: 吓的都是死手啊，招招往这个致命的地方招去，还是海滩之上。哎，那可不还是白老师上网说塞克 b 是哎这比利呢有次元移动的能力啊，打着打着身形闪动哟消失了，这个还在寻找，就听到空中冷风呼叫。这米丽娜从他身后现身一脚就踹过来啊，这也是上东老贼这个法术的副作用啊，这个抖擞精神啊，, Start Time: 468790
Text: 两个人眨眼之间三十多照面不分胜负。嗯，啊这这个心里有点着急了，心里想久战不利啊，我得赶紧润，我得想辙解决它。但是对面身手灵活窜来跳不去，一时间没法得手打两下，露出一个破绽，一下就移形换位消失了。这的心想这我得来点狠活了。想到这儿，左手一抖，收回长棍，右手一斩唰手上出现扇面那么大一飞镖，, Start Time: 494390
Text: 你说都穿泳装，哪来那么多道具呢？啊，你别问啊，问就是魔幻现实主义这边米丽娜刚刚显形 j 的大喝一声，说招法宝啊，呜这个飞镖就冲那脑门儿就过去了。因为他这边刚刚换位，这魔法还在冷却期啊，就是搓完炉石，你待一小时差不多这意思。嗯，没法消失，闪躲，这只能是赶紧侧身形避让，, Start Time: 521125
Text: 就听得耳边挂起风声。这一镖是将僵的擦着脸颊掠过，但是米丽娜这边的注意力分散了，还有躲飞行道具呢，没注意这的这下乃是虚招，趁对方分散精力的时候，已经冲到近前两手抓住了肩头，用力一拉给他拽到自己身后抖擞之间。这长棍从背后带着十层力气就抡到骨盆中间，就听到啪嚓一声。, Start Time: 545550
