Text: 动作格斗 RPGG 桌面策略 ACT 如果你有想说的，一定会有机会说出来。家底有与你一起展示你的游戏。人生冲撞刀光子弹灰告白魔法，各种累累，物理画面都是美眉，没有话题。你来给啊，我是你。嗯，大家好，欢迎收听加九 pro 最新一期 FC 三十周年回顾的节目，, Start Time: 3960
Text: 我是机核网的皮皮熊。呃，我们之前一期聊了关于 FC 主机的一些呃很多的一些东西吧，游戏啊、外设啊、花边新闻啊，还有我们一些玩过的一些经典的一些游戏。然后但是这个话题还要继续，我们呃呃几位嘉宾也和大家一起打个招呼吧，在弄会井儿。对我们集合网的井儿高碑店污水出养退休老职工安藤杰尼斯就是我发挥预热，, Start Time: 55050
Text: 今天来了。对，已经不如已经已经七十多岁了是吧？还在我们这跟我们这一块做节目虚岁虚岁，嗯，我是九梦。对，还有一位非常可爱的妹子九梦，嗯，呃正好听到这个恶魔城的这个音乐，呃，我突然想到了一个比较有意思的一个一个东西。就是好像 FC 那会儿，我们呃在玩游戏的这个过程中，, Start Time: 82380
Text: 接触到了认识了很多的一些游戏的一些明星。就是就是从那个时期开始诞生的，然后一直到现在就是伴随我们成长的，比如说马里奥呃林克，然后这个路易，还有那个恶魔城里边那一票那个吸血吸血鬼猎人啊，伯夫。对对对，还有热血硬派的。对，还有那个萨姆斯。对对对对对对对对，很多的一些就是都是从那个时期我们接触到的这这样的一些角色。, Start Time: 104349
Text: 我不知道，就是大家可能呃在你们在最开始玩这个游戏的时候，可能就是在一个角色之间，不同的角色之间，这种这种特性是通过什么给他给它区分开的？是通过不同的游戏呢？还是说通过他的这个人物的这种属性也好，还是他的这种设计也好，外形啊外形还是就就是除了外形之外，穿衣打扮吧。, Start Time: 132405
Text: 这个就是是说我小的时候肯定是通过外形那个都是以后长大了以后越来越了解这个东西才知道啊，这里头到底是是什么事吧。就比如说魂斗罗一 p 和二品当时就没当，当时应该就没有什么都是这样红而蓝是吧？对，当时但是就是你可以在这个片头画面上可以看到是两个不同的人。对，所以当时马里奥我就以为是两个都是马里奥一个红色，, Start Time: 155250
Text: 一个绿色。我不知道那个是路易基，但是他长得高，但是他不是玩玩完这个再玩那个，他俩不同屏，他就能看出来一代马里奥好像还一 p 和二 p 没有身高的区别，应该是一样的，还还是从后来超人那代也改的。对对， ESA 那一 p 的时候，感觉好像就是同一个人。对，就是颜色就是颜同颜色就是换了一色板。, Start Time: 181000
Text: 对对，就是就是颜色不一样。对，到后来那个身高不一样样的时候能力也就不一样了。应该是我觉得最明显的就是是双龙龙里面那两个人，那两人你是可以一看一看就可以看出来的。双节龙一二三就是不同的职业招数不一样。对对，都是不管是招数啊，外形体型好像都不太一样。呃，还有像什么忍者神龟呢？, Start Time: 202580
Text: 就更甭说了，那个使的武器器个不一一样。那忍忍神龟，我觉得还是三代，就是说给区分的比较大。三代就是每个人摁 AB 里边的那个都有保险的，就是那个放大招那个那个这都不一样。忍忍者龟忍者龟一代好像还是好像还有那个开车的那个在街上，就是一代那个俯视的一代区分也挺好一代基本上玩都爱使短胳膊，, Start Time: 224530
Text: 使它那棍子比较长长，对，一寸长一寸墙，而基本不爱使米开能机吧。他们的因为他们拉斐尔的攻击距离都特别短，就是打别上特吃亏，尤其碰到那种雪特别厚的，他抗揍的那种地方是特别吃亏。对，然后你像那个恶魔城，恶魔城刚一开始的时候玩的时候，这个就是这个这个呃觉得这个人物好像就是感觉特别，, Start Time: 247050
Text: 怎么说呢？就僵尸特笨的那种感觉，就是跳好像也跳，就是僵硬硬对，跳也跳不高。然后灰鞭子什么动作也不好看，而且硬质特别的严重，因为跳起来太沉了，还不能左右那样，就觉得特别蹲的那种感觉似的，实在受不了，受不了也不知道。对，咱早期的恶魔城反正是挺难的，就敌人碰你一下就死。, Start Time: 275270
Text: 不过当是恶魔城，看着他一百二十八 k 他那个他跟魔夜村等于都是一百二十八 k 但是看着画面始终觉得恶魔城比较细腻，对，比较丰富。里面那个场景元素恶魔城做的丰富就是敌人，包括外面的要素太丰富，什么蜡烛啊、什么窗户啊、教堂啊什么这些东西做不对。对，而且它里面还有好多克拉米的彩蛋什么的。, Start Time: 294910
Text: 有的地方说你打某个砖块给你出来，或者说你你跳到哪个地板上蹲下几秒，他给你出来。像宇宙巡航机里面复合结挡的那个魔衣的头像，然后还有隐藏的钱袋儿，这些东西就是在恶魔城里面都有，恶魔城衣里面都都有。哦哦哦，对，所以到了后来就是从月下一些变响起开始吧。然后可能阿米把那个恶魔城给做了一个改变，, Start Time: 314930
Text: 就完全就是变得更呃，对对对对，就是可能更 RPG 化，然后动作也变得更更华丽那种的。但是好像冠华丽。对，但是好像就是好多老玩家都说这个传统的恶魔城应该就是比较硬派，比较比比较比较难这种这种对传统等于也就出到 PS 一上复刻的那个恶魔城历代记等于也就算完了。, Start Time: 338600
Text: 前两天三 DS 玩着还能找点以前老的感觉，觉三 s 有点沉沉实，有那种感觉，但是它有二段跳老的，没有二段跳。对，那个呃前几天出那个就是特特难，那个就是就是就敌人碰了一下，差不多三分之一还是四分之一。血应该是有时候有时候，尤其是就是他这里面他的做了好多，就是那个华丽丽连续技，, Start Time: 360930
Text: 还有像战神里面那种终结 QQE 的那种感觉。而且而且那个恶魔城呃，你玩的时候，他就是好多的道具在打打不同的 boss 的时候，你得使不同的那种那种打法。那个时候好像这是比比较比较先进的那时候基本上我我的标配就是三连发那道具配十字架，十字架，因为它回旋是能够蹭着好几下血。, Start Time: 381280
