Text: 嗯，追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏也能长知识。欢迎收听机和宝加九 pro 朋友，你再也不用担心被揭目安利的时候找不到那个游戏了，你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散，, Start Time: 3250
Text: 别亮了。大家好，欢迎收听最新期的 jdio 专题节目啊。这个是二零一五年的年度节目，由亚男三基佬主持人。大家好，我是主持人西蒙。大家好，我是安利灵魂导徒，我是杨一。嗯，大家好，我是安利灵魂学徒。麦教授对组成了亚男之影对，组合三基劳。对，然后因为雪原啊，我们之前一直答应，, Start Time: 70315
Text: 大家就等我们玩通了之后，然后再为大家分析一下雪缘的里面那些文化的概念，还有这个剧情的猜想。嗯，然后今天呢正好我们都已经打通了这个游戏。然后之前也经常提到这个游戏跟那个克苏鲁文化嗯和洛夫克拉夫特式的恐怖，嗯，有这个千丝万缕的联系。嗯，今天呢我觉得咱们就直接开门见山，, Start Time: 130940
Text: 要不然就是给大家分析一下这游戏的世界观，跟所谓的克苏鲁文化和这个洛夫克拉夫特是给他来一个追根追根寻源。对，追根寻源。对，然后咱们这期节目正好就叫做血缘之缘。咱们就聊一聊这个游戏，它诞生是攻心新高，都有哪些东东影响响它所诞生出来这款游戏。对对，嗯，所所咱咱们从哪开始说呢？, Start Time: 157890
Text: 洛夫卡夫特，他这个人是呃我们所克苏鲁所说克苏鲁神话的这个缔造者，他是最早有提出这样一个宏大的概念的这种未知恐惧这种概念的这样一个人。所以我们可以还是就就是我们从这个克苏鲁神话体系这个我们的这个介绍简介一下这个克苏鲁这个体系。嗯，个克苏鲁这个体系呢？其实呢他为什么咱们现在说称他为一个体系，, Start Time: 180050
Text: 而不是一个就普通一个小说中的一个设定的。嗯，因为这个系系是由这个夫夫夫夫特人啊，他创造出来的。嗯，创造出来之后，后面经由非常多的这个作家不断的添砖加瓦。哦，咱们经常是对非常熟悉的这么尼尔盖曼啊，一些美国众神那哥们儿还斯斯蒂芬金，他们都写进类似的克苏鲁体系下的这种这种小说。, Start Time: 204760
Text: 嗯，所以说这个体系是经过很多很多人一代一代的这个积累。最后发展成了一个就是有别于咱们自然产生的这些神话的一个非常另类的诡异。黑暗的一个是他又特别的完整，对他他又可以自圆其说，又基本可以自洽的这种东西。嗯，他这个体系的一个核心思想呢，就是怎么说呢？就是人类在宇宙面前的这个渺小与与这个不值一提，, Start Time: 227140
Text: 因为他这个太太对，不值一提对。洛夫克拉夫特说，他本身他这个小说当时归类的是科幻或者恐怖类。嗯，但其实他他想创造这个体系，并不是要要给人带来这个恐惧感。这个恐惧感其实怎么来的呢？就是源于洛夫克拉夫特本人，他的一段这个非常经典的一段一段这个话。嗯，他说人类这个生物啊最原始的情感就是恐惧。, Start Time: 253730
Text: 但是这个恐惧中最最原始、最最厉害的是对未知未知的恐惧。对，所以洛夫克拉夫特他非常就是非常抓住了这个精髓。嗯，他创造了这么一个就是完全超出人类理解的这样的一个神话体系。嗯，在这个体系中的所有神，他都是那种就是强大到就我们已经无法用语言或者无法用常规的知识去解释，, Start Time: 279725
Text: 过于强大，对过于解释，甚至整个甚至有的神。比如说他这个体系中就是体型最大要最强力的那个叫叫阿萨托斯的这个神。它据说它的本体是有一个星云，一个星系那么大。对，然后它如果被召唤到地球上之后，它即便是被召唤到地球上之后，它的化身也有数千公里之长，就漂浮在空中的一团，, Start Time: 305080
Text: 不停变形的混沌一样的这种这种人种。而且他洛夫克拉夫的体系中，他描述的这些神啊，他都有很有意思一点，就是人类在这些神的面前是就是根本没有任何存在的意义。就是这个这些神其实他们嗯后世都管他们叫邪神分的很细，有什么外神啊，包后这个就是支配者，嗯，就是支配者，可能这个支配者这就就听的比较多，, Start Time: 328630
