Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友。你再也不用担心，本节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 COIS 点 com 我们不见不散。, Start Time: 27700
Text: 对对对对，越来越亮。 you give me a kiss up and a dream on in my imagination will try up upon that case， sweet heart。 i ask no more than this。, Start Time: 70315
Text:  a kiss WA dream on。大家好，欢迎收听加里 o 最新一期的 pro 专题节目，我是西蒙。我们大家听到这个来自辐射的音乐，就知道我们终于要填这个史前大坑了。呃，为什么经过这么长时间没有录呢？一是没有等到辐射四。二是没有经到这么的伙伴，能够跟我们一起聊这个话题。, Start Time: 99585
Text: 但是今天这些问题全部迎刃而解了。我介绍一下今天的两位嘉宾，首先是老白，呃，大家好，我是老白。呃，辐射的民间爱好者非常高兴，也非常荣幸啊，能够来参加集合的这个辐射专题的这样一个录制。太谦虚了。然后还有另外一位请自我介绍。嗯，大家好，我是微面旅行者 GG 军，, Start Time: 128880
Text: 呃，我也是辐射的一个很甜感的粉丝。今天还是很高兴能跟大家分享一下有关我对这个游戏的看法。嗯，然后 g 军也是这个 viki 的一个编译人员啊，非常非常的厉害。对，然后这个我先得跟大家这个就是事先说一下，就这期节目我们这现在这次录啊其实也是第三次了，之前两次都并不是非常成功。, Start Time: 153220
Text: 因为我们总想在第一期的时候带大家入个门，然后概括一下这个辐射它到底是什么样一款游戏。后来发现并不能够这样录。对对对，是的对，因为这个游戏涵盖的东西实在太多了，就是就是没法去拿跟其他的游戏做比较。我觉得对，就是辐射这个东西呢，我们做下来单独谈这个作品，谈三天三夜不重样的，, Start Time: 178300
Text: 也是有可能。对对对，就就是论从他的文化或者从它系统或者剧情乱七八糟各个方面我们觉得还不如就是我我们每一期都给大家说点干货，然后这样深入的聊每一期我们可能会搞一个五六七六七七的这么一个大专题。对，为了表现我们的诚意，对，完全为了表现我们的诚意。对，然后今天是呃你说这军呃主要是前几期西蒙录的也是很麻烦，, Start Time: 202120
Text: 呃，太笼统了，大家也觉得没意思，太深入了，又录不完。对，然后所以今天我们就从最早的这个辐射起起开开始聊起。对那我觉得不如大家先说一下自己玩辐射的起源。对呃对，这个呢实际上就是我们今天的主题是谈起源，那起源也是和每个人来啊息息相关的。就是我们今天参与这个节目三个人，, Start Time: 230610
Text: 实际上年龄都并不并不一样，并不一样。对对对，呃，这里边我是八一年的，对，是老大哥。对对对，然后西蒙是我是八八五年。对，这局是八八年，对吧？对对，都有代沟。对对，也谈不军好歹还在一个年代层次里。但是就是随着接触的那个年龄的不同，或者说是时代的不同，那对于他的认知可能就不太一样，, Start Time: 254950
Text: 尤其是对于游戏的心态啊等等这样一个方面。就是我先说我自己的行啊，我是九九年的时候，九九年在上个世纪末对对上市节末，然后买到了一张 interway 的辐射二的这个这个盗版碟。嗯，对，那挺成功的，因为 internewer 的翻译非常的这个不够意思。对对，相当够意思思是是说版的里边那个就是血鲜血和脏话是毫无保留，, Start Time: 281320
Text: 完全都在里边。对，展现出来。对对对对，非常非常的过瘾。然后后边的第三波呢就是导致大家骂街的这样一个阉割版。对对对，是。那么就是拿到了辐射二之后呢，就是这种感觉就好比现在沉迷网游的朋友们这样一个感觉疯狂。对，非常疯狂。整整一个冬天就是在家里，那那个时候就是我家里还没有电脑，, Start Time: 310840
Text: 我借了一一电电脑，然后你借的电脑是借的。对，找朋友借的一台电脑，然后每天除了吃睡之外，嗯，就是玩游戏，就是也是玩了一个游戏，玩辐射这个这一个游戏，那时候叫一一尘医生，一尘余生。对对对，但就是在呃盗版节的封面上也是一尘余生。对，因特位出品这样的。对对对对，然后就持持续了整整一个冬天，, Start Time: 336500
Text: 然后这感感续一直到天也没有有变变，就是这个多年了，十多年这个辐射这个辐射二这个游戏就是一呢还稍微差一点。因为就是说一一开始的时候，他在大陆的介绍和推广还并不是很足。对对对，嗯，也是后来那个 b 十三有了汉化之后啊，大家才玩的多一点。那么早期大陆玩家对于这个辐射的认识，, Start Time: 360720
Text: 基本上都玩是二代，辐射二代。对对对，就是包括他的氛围啊等等等等这样一些内容。对，那么辐射。二是十几年来，我唯一一个每年都会同一到两次的游戏，你确定吗？对我确定我非常非常确定。对你甚至就是说在后边我们可能谈到的就是一九九八到二零零八这个辐射断代。这个黑暗十年里面，, Start Time: 385980
Text: 它是唯一的精神食粮，就是啊就是辐射二代了。对，因为就是他已基本上就是已经成为绝唱，那么就是像钢铁兄弟会之类的这些外传性质的。嗯，然后他的文化内核游游戏这这样一核核心又与初始就是一个目的有所背离。嗯，啊所以说是辐射二几乎就是唯一的精神食粮。明白啊啊啊就是这样一个情况。, Start Time: 407500
Text: 那么呃一直到今天吧，对于辐射这个游戏，无论他在什么样的一个阶段，他在哪个公司手里，我都会非常感谢他，非常感谢他。因为就是他已经成为一个就是与生命不可分割的这种态，以生命之间的击绊是对对对，是的是的是的，他在他经成为成成就对，这军呢呃我和老白可能不太一样啊，, Start Time: 431700
Text: 我最早接触这个游戏的时候是零二年或者零三年的有一年。嗯，呃那个时候我当时还在新疆，在新疆这个哈密这个小地方，有一家游戏厅，就是一个卖游戏的软软件店，找到了一个第三波的，就是刚才白大师说的，被人玩家阉割玩。对对，第三波的正版碟，然后我就把它买下来了。因为那个时候其实买这个游戏也没有什么特别理由，, Start Time: 454560
Text: 就是感觉这个封院这个这个马桶头哎很有意思，长得很独特啊，我就把它买下来了。嗯，买下来之后呢呃在家里面玩，一开始可能也是大部分玩家像遇到了一些坎坷，就是在神殿里面戳蝎子。对，但是直到这个 or 蝎子戳完之后，我说哎呦，这原来一个 RPG 还能做成这样。因为当时可能同龄的朋友玩的都是包国产 RPG，, Start Time: 477940
Text: 包括仙剑奇侠传这一类的。对对呃，我玩的这个游戏觉得哎呀原来一个 RPG 还能做成这个样子，自由动年如此之样。对对，沉沉迷了。因为是直到印象最深刻，就是拿到第一把枪的时候，哎呦，心中那个雀跃，它不像是很多传统 RP，你还要去商店买，都固定你会得到什么乱七八糟的这种系统。, Start Time: 501500
Text: 嗯，它没有，就是一个纯纯粹给给你自己去玩的一个这样的游戏啊。当时沉迷沉迷了很久，因为那个时候零二年、零三年啊，网络也不是特别发达，在在新疆这边啊，都是自己琢磨着玩，然后沉迷进去玩啊，玩不过就想办法修改修改，也没有地方找攻略啊，不停的玩，不停的玩，不停的玩，, Start Time: 520109
Text: 一直玩着我都不知道玩了多久啊，这样白大说是游戏有阉割，我可能一就最早并没有揭触到那些非常不知道就是孵化的东西。那个我这里边又插一句，就是说那个之所以说买就是从第三波接触的不幸啊，就是除了这个阉割版之外呢，然后盗版盘里非常良心的附带了台湾的 GS one，就是王日昌的福州二基础攻略哦哦，, Start Time: 537110
Text: 是吗？对对对对对，因为当时就是这个文本啊，它是一个文本文档。然后当时那个因为那个 GB 和 b 五内码的问题嘛，你还要用乱码啊。对对，你要南极星弟转码，嗯，然后就是有了这个攻略，等于给你打开了新世界的大门。哦，是这样的。对，所以说后期的就是接触简体汉化版的玩家，, Start Time: 561550
Text: 其实在某种程度上有点不幸。嗯嗯，对，但是他们不知道，所以也就不足以说对通关是对。嗯，最后这游戏沉迷太久了，玩到最后就是玩玩了要将近两年，我才把它玩通关哦，整整两年。我但是人人该是第一次玩游戏，玩了这么久久一游戏戏们来玩通关。是的，那玩通关之后呢，后来有了网络，, Start Time: 580200
Text: 我就上去查。结果就发现我在玩通关游戏那一年呢，就是刚好在网上找到一关范范伦伦这个游戏，他已经做不下去的这些新闻。当时心中就感觉唏嘘坎坷呀，就感叹人世之无常，是是怎么怎么这么好的游戏，以后玩不到了，怎么办呀？对对对，这种心理，但是也没有办法，这游戏最终还是在不停的玩和白大师一样。, Start Time: 601520
Text: 我也基本上是每年可能会通关一次，因为他后来还有很多粉丝在不停的修补这个游戏。对对对，包括一直到今年还在出补丁。对，还在说我每年都可能会下载下来新的补丁再玩，每年再玩一次，可能未必必玩通关。但但是一直玩玩玩很久，就是属是自己平时闲来无聊消遣消遣的一个选择，就是去打一把就戏，, Start Time: 623270
Text: 像自己的青春致敬是一个个戏。对，以这种感觉太多，活络性灵聚聚在一游戏还是一样。对对对，是的是的是的。嗯，那这个我觉得这个白老师要不然给大家概括一下吧，就简单概概一下下这个是什么样一款游戏。因为我觉得可能要要让我说来一两句话，可能也说不太明白。呃，其实这个辐射对于自身定位，, Start Time: 642970
Text: 它一直都是非常清晰的。就是从一开始他就把自己叫做一个呃感 st nuclear role playing game。就是一个后合一个核战后的角色扮演游戏。对，关键就关键的字是在于核战后，这是当时他们开开发者自己给自己定义的一个游戏模式。对对对，游戏类型。对对对，, Start Time: 664290
Text: 实际上就是他就好像就是我们讲那个就是呃时间、地点、人物企验经过结果，然后六要素那么一个核战后呢，实际上就把这六要素都包括都概括了。对对对对，这是一个特定的时代，也是一个特定的情况。嗯，呃从辐射的这个游戏整个的这样一个跨度，以及它所的它自己的一个文化内核来讲的话，, Start Time: 684960
Text: 我个人的观点啊更喜欢把它称作就是黄金时代突然死亡。哦，是这样这样一个观点，就是就好比说前一秒钟你吃着火锅唱着歌啊，下一秒突然间对，突然之间就是一切就就就全都毁灭了。嗯，这比土匪强，你还要可怕，就是咱们在就在这录着音呢，然后瞬间就什么都没有。对，我们上一秒就是还在这神采飞扬的谈那个就是核战后的一个决色，, Start Time: 706215
Text: 败的游戏，下秒核弹真的落下来了啊啊，而且还落在二环里。所以这就是辐射整个世界观的一个一个基础。它这是一个世界观的基础。对对对，就是人们对于整个的世界的认知都由此而生。嗯，是这样一个情况。嗯，那么正因为是黄金时代的突然死亡，那么在战后呃，在这样一个荒废的世界上，, Start Time: 731130
Text: 我们所看到的遗迹、文化符号都能促使人们想起昔日的繁荣。黄金时代的对对对对，昔日黄金时代的繁荣，这是我我方再说一下黄金时代吧，这个是大概是什么时代的？呃，这个大概时代就是是 lden age。呃，实际上 goldage 它的来源呢就是说在二战结束之后啊，那美帝获得大胜利。, Start Time: 754770
