Text: 行，走了，从前那我看怎么能 the money on the bed 要再激动，你是一个 right，知道我来跟你解屏。哎， hello，大家好，欢迎大家收听新一期的家里有桌游节目，我是冰，我是瞬间思路。哇，这终于又听到思路老师声音了，快消失一个月了。快好，, Start Time: 15730
Text: 这回终于给他又逮回来了。对一直各各种展展之类的来回乱跑。所以时间一直不够用。哎，然后这回呢也是思路之前跟我就有聊的这一个个事，就是说咱们都知道有什么一个环游地球啊，八十天环游地球桌游里面包括也有嘛。对，这桌游会用很多就是各地的风土人情来作为自己的包装，然后给它包装成不同的玩法呀、, Start Time: 56920
Text: 故事啊等等等等。没错。哎，然后我们就想着咱们也是不是要做一个桌游环球世界这种东西。对，这是最初的想法。对，但是后来变着变着这个想法就有点变了。因为毕竟啊不是咱们所有的地方都会去是然后而且最关键的是咱们的听友很可能哪都去去。对，这是最可怕的，你知道吗？哎，所以我们决定来换一个形式来给大家把这两种形式给结合到一块来。, Start Time: 80680
Text: 嗯，所后现在后来想呢，其实这个目的啊也源自我们们玩游游时候的一个硬性需求，就是装逼。这个我需要有一些谈资。我玩游戏的时候，因为桌游其实有趣，他吸引我的特点之一，就是他这种很深的文化底蕴和这种文化元素的结合性。但是玩的时候呢，就是真的我如果不知道这里的东西是什么，, Start Time: 105040
Text: 可能乐趣会很低，或者是当我们都知道这个东西是什么时候，但我知道你不知道的那我就能讲出来，能震慑住你啊，装逼了让这桌游被打下。这不不不，你可以讲的很，你听完我们的节目，你装的逼就不这么硬。哇，你可以很自然的把内容讲的这叫什么？一鸟入林，百鸟押韵是吧？脸啊，这是一期功能性节目。, Start Time: 128380
Text: 对对对，这真的是一个硬续节目。而且这么说吧，就是呃因为我也在录这个桌游节目当中，其实也在发现一个问题。就是可能有的时候桌游的东西讲的太深了，太硬核偏到桌游了。其实不玩桌游的朋友，大家感受不到这个一些它的里面这些乐趣或者这个东西的点在哪儿。嗯，所以不如我们在像一开始那几期那样一样调整一下它的比例，, Start Time: 151430
Text: 给大家讲讲更多的这个桌游相关的一些个有意思的段子和故事。真的就是作为你在游戏桌上的谈受，可以让这个确实是啊可以提升大家玩桌游时候的乐趣和感受。这是实话是我在推广桌游活动当中的一个真实的体验。嗯，所以我们尝试着来试一试，再继续回到这种形式上，跟大家去聊一些桌游和它背后的段子。, Start Time: 175010
Text: 那那咱们今天要说的第一个地方是什么地方？对，这个地方呢其实跟你有关哦，对，咱们第一个地方要讲埃及啊，哎，而且说这个埃及这个事儿为什么跟你有关系系吧，因为你去了一趟埃及，对，实现了自己小时候的梦想。对对对，突然间感觉已经无欲无求了是吧？是是还还有还有用，还有有还有地对，, Start Time: 200560
Text: 还有两个地方想去呢。那还好那还好，然后咱们要说埃及呢，其实埃及这个地方，我觉得咱们大家应该都不陌生，甚至我相信很多听友去过。对，因为埃及旅游现在可能也也是一个相对热门，在非洲的所选择里头是是一个比容易易实现的一件事。是非洲，要么就去埃及，要么就去摩洛哥，要么就去南非。, Start Time: 221750
Text: 对对对对，中间那些地方基本上都是玩得起，或者有胆量才敢去的。对对对，没错。所以我们现在就聊一聊这个我们在即使您没去过，也会在书本和电视上非常熟悉的地方。当然你说埃及这事聊可多大了。比如说对比，比如说咱埃埃及的国土面积也也小，对实现的历史更悠久，对吧？甚至说在断代研究上面它的历史，, Start Time: 241590
Text: 这是在四大文明古国里面，应该也是首屈一指的，要靠前的。嗯，当然这里有一个要跟大家先提前说明一点，就是现代埃及的埃及人埃及文明和我们要讲聊到的古埃及其实不是一码事儿。对，它中间断档了，不像咱们是传承下来的，这个咱们可以听之前那个地海三国志的节目，大家都可以。, Start Time: 265270
