Text: 利息朋友饥饿 APP 终于上线了，激动疯了。 IOS 用户在 app store 中搜索激活二字即可，直接下载，赶紧下别废话。我叫很高兴认识你们。大家好，我是电脑娱众。大家好，我是做索尼电娱娱乐的负责人，天天无人 i 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻聊游戏也能长知识。, Start Time: 150
Text: 欢迎收听机核网加九 pro。大家好大家好，我是又又回来了，我是新萌，我是杨毅，我是么？我尔龙马还有我们继续为大家奉上第三期的黑魂剧情解析。对对，然后上一期我们聊一聊 NPC 在世约中出现了所有的这个重要的 NPC，咱们视线和主线的关系关系。对，然后梳理了一下这个考据的内容。, Start Time: 50325
Text: 然后这一期呢我们就聊一聊这个势力誓约，对他们背后这些 NPC 背后包括整个世界观设定下的各方的势力，然后包括他们体现出来有一些誓约和魂的这个世界观是怎么接洽到一起去的。然后上一期我们可能就是聊聊系统，然后就是讲的都是一些游戏当中的一些考据的线索。对，然后但是这一期呢可能要柔和一些自己的理解在里面。, Start Time: 129020
Text: 对对，然后咱们先聊这个视契约和这个势力的一个。对，就上一期咱们就是聊到有一个龙女，对吧？对，然后这个龙女呢玩玩到这个地方的玩家都会发现啊，它其实是一个就是咱们之前说的爱乐骑士团的这么一个团长啊长，你要向他进贡一个东西，对吧？进贡那个什么誓约之政，这这这个约定之政。, Start Time: 153140
Text: 耳朵对叫朵朵这么一个东东西后，你跟他他贡贡了一定这个约定定之之之后呢，你会发现他会有一些有一些对话。比如说他的对话中会暗示，就是说他自己其实是这个被在被在这关了很久了。对，然后他是咱们一代的这个乌心王葛温的女儿。然后他的兄长呢就是这个一代的那个伪娘啊，也就是那个格温德林小儿子，, Start Time: 174930
Text: 对小儿子，对他从小是被当成一个女性养大的，然后他是暗影太阳，对江湖人称女儿。对对对，有提到他是就是遗留在就是这边的最后一个。对，在一代中有听过，他是是因为那个太阳长女，我们都知道是一个幻象是个幻象，所以说这个王城中只有一个所谓神了。就是对，因为当时一代的时候是是这么着，, Start Time: 198590
Text: 就是他当时是那个王女的那个大波妹在那，然后他有一个金闪闪闪，不不以不是金闪闪，有一个类似一个女性的 NPC，在王城沟暗月之剑的一个对他是皇铜之剑对王成的火房女。对，王城火房女，然后他但是他他是一个可以就是触发战斗的这个战斗怎么触发呢？就是你对这个这个葛文这个公主，, Start Time: 221980
Text: 你进行任何攻击行动之后有两种方法，一种是你破除了这个太阳长女的这个幻象，太阳公主这个幻象对他就攻击你。还有一种就是你去挑战这个戈文德林。没错，他也认为你是这个这个你不信神，你不不不尊重神，他也是代表暗月之剑，代表暗月亮惩罚你。所以说他这个暗月之剑，这个誓约呢一直延续到咱们三代。, Start Time: 242720
Text: 对对，可以先说一下这个暗月之剑，他这个组织他目的是和怎么来了，就是他目的是什么怎么来的啊。玩家之前在一代的时候，我们知道暗月之剑大致就是说我们一代玩家喜欢叫暗月之剑叫警察。对对吧？因为为什么叫他警察呢？是因为你你只要被入侵了，然然后带呃三代是带着那个清教的那个徽章，, Start Time: 264020
Text: 然后一代的话，你只要被入侵了。然后如果果你带着暗月月剑的那个是呃如果说你是暗月之剑的誓约，嗯，呃你就可以被是暗月世界。好像有一个特殊的东西，就是说你可以让你进入到有罪的人的世界，呃，是个蓝色的眼球的，记得是还是一个什么颜色的眼球，就是是有这个社会。对，因为他有那个有一个所谓的就是你如果入侵别人就是罪罪。, Start Time: 287250
Text: 对你要去别人是有罪人。对，然后你有两个办，呃，你你的办法只有一个，就是你要去。对，因为那个阴险的神父那边就罪女神神那个信奉罪恶女神，呵呵呵呵呵。那个对对，是一个来自卡卡姆的这个个对对特阴险看上去，然然后你要去当位那边告罪。对，这个神父他完全不像神父在一代的时候啊，, Start Time: 311610
Text: 对，二代的时候其实也有。对，然后他就是张开双臂，笑的非常的阴森奥斯瓦尔德。我记得那种啊，对，他们这个就是是一就就是说讲的是就是讨伐诸神之敌。其实从剧情上面来说，还是讨伐诸神之敌。我们先不从纯游戏机制上对对讨伐诸神之敌。对，那什么诸诸神之敌是的，嗯，对吧？什么叫诸神之敌？, Start Time: 332740
Text: 在三代里面的话，呃，有一个有一个有一个细节，就是说包括我们之前说的，就关于如果说你去呃贡献一个石头给罗莎利亚，嗯，那就是暗月之剑的西里斯。对，他就会跟你敌。对对，其中有一部分就可以。就其实有有从侧面这样的就就解释。如果说你去帮助，或者说凡是那些会去入侵别人的人，, Start Time: 356480
Text: 可能都是暗月之剑的敌人。敌人对一个副一个之标，然后暗月之剑，他深层的含义义是就就是从从三里里面实际你的那个就是呃应该是拿呃在在你如果说杀掉杀掉那个半龙妹子的话，你会拿到他一个圣灵妹觉。对，这圣灵上面有写过，是圣灵上面写的对吧？就是是讲呃暗月的真真正教育是在于复仇，, Start Time: 382360
