Text: 大家好，我叫很很高兴认识你们。大家好，我是追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏也能长知识。欢迎收听机核网加九 pro。如果您想体验本期节目最好的视听效果，请到机核网网站三 w 点 g 杠 CORES 点 com 查看我们开发的新功能，保证会让你耳目一新。, Start Time: 390
Text: 嗯，朋友们好，欢迎收听质量效应专题节目，我是主持人西蒙，但其实不是啊，真不是啊。来大家相互介绍一下，我是西蒙。哎，大家好，我是茶包。大家好，我是麦教授。大家好，我是龙腾世纪八拿破仑仪式。对，请问龙腾世纪八的八个是是主主，不是霸主，小巴对巴主推荐过来的鲨鱼同学。, Start Time: 62455
Text: 对对，感谢鲨鱼啊，今天其实我们是为这个我们的超级集核有史以来最大专题龙龙腾世纪专题最有野心的一座新闻。为了这一座，他都放弃了那个某个节目的拍摄。对对对对，所以呢但是咱们这一期啊就是做个序章，咱们先不从这龙腾世纪说起，咱们先从这个白欧威尔这个公司对那说起，说说他的故事，, Start Time: 106630
Text: 然后我们随后再演出龙腾世纪最详细的世界观体系和这些剧情啊等等一类的故事。好吧？嗯，对，然后今天这一场呢是这个插包整理了一下思路，是可以作为一个主讲师，对，给大家分享一下。嗯，虽然随便说啊嗯从何说起呢，从何说起啊，还是从北欧维尔这个公司说起吧。因为一看这个名字其实是为什么叫生软啊，, Start Time: 134050
Text: 就威尔听上去像那个生物科技公司是吧？对对啊，其实是他是加拿大的一个游戏公司，加拿大游戏公司其实不多，最有名的应该就是那个玉碧蒙特利尔。嗯，对，就是那个呃玉碧的一个全球最大的工作室吧。对参与过质量效应的开发，什什么呀？对，负个信条的开发啊，对，其实最早是那个分裂细胞。, Start Time: 160490
Text: 对对，私责信条完了以后，其实那个贝奥维尔是做代工起家的，嗯，外包厂商。对，也是外包厂商。然后而且他们所在的地方其实没有那个蒙特利尔。那么繁华是那个总部，在埃德门顿是很偏北很冷的一个地方。对，参与怎怎么呢呢？北北北的东北吧啊大东北就讲话都是那铁岭的地方。对对对，, Start Time: 183630
Text: 差不多就风格。所以他们其实是做代工起家的。最早的话如果老 biop c 玩家应该记得有个 MDK 的游戏。嗯啊就是那种最早期的那个三 d 动作游戏啊。完了以后，当然大家知道他们最有名的，我们之前那个龙影地下城节目也做过伯德之门。对，黑岛时期。对啊，他们跟那个黑岛合作做了伯德之门，, Start Time: 204430
Text: 所以就是深软踏上了这个欧美 RP 级这个名场之路啊，然后呃我们上期龙腾的呃那个龙与地下城的节目。如果大家听过的话呢呃应该记得就是说我们有一个叫所谓的后黑岛时代啊，后黑岛时代其实就意味着说黑岛的几几个创始人，包括呃几个游戏实际上就开始纷崩离析了啊，那么贝尔维亚因为做了伯德之门，, Start Time: 227560
Text: 一和伯德之门二呢就是声名鹊起变成了一个欧美 RPG 的一个名场吧。对对啊，那个然后其实是做了四款，因为有伯德一，然后有剑湾资料片，然后伯德二，但是那个巴尔王座资料片。对啊，所以这么完整的一个体系下来呢，基本上那个呃贝尔维亚呃已经掌握了这个欧美 RPG 的一些精髓，, Start Time: 254110
Text: 形成了自己的一些风格。对，而且实际上他们和黑岛的分歧越来越明确明显。对，就他们现在开始想走自己的风格了。对啊，我们上期提到过说有那个他们后来做了一个最有名，应该说呃跳出这个剑与魔法世界，真正意义上贝奥维亚独立的作品其实就是 KOTOR，就共和国五士，共共和国五士。, Start Time: 275750
Text: 嗯，就共和国五十，应该大家都玩过吧。对，手软其实是做引擎的，在在跟黑岛的这个分工当中，对，所以 KOTOR 也用了他们自己的引擎，然后同时借用了星球大战的那个世界观，再加上那个龙底地亚龙地下城的那个系统。对对，然后呃一方面呢就是说实际上呃这个我觉得也奠定了那个呃深软后面的发展路线。, Start Time: 297460
Text: 呃，因为我们知道龙影地下城，它其实是属于那个奇幻设定中世纪奇幻设定建筑魔法了，所以就是无冬之夜啊，那么 QQR 实际上是一个太空歌剧。对， is ss over a 那么我们知道后来的我们包括今天要谈的 dragon age，实际上也是奇幻史奇幻史诗。然后另一个太空的歌剧呢是大笑演大笑园。, Start Time: 326360
Text: 对对对，太场我们听到的那应该对，所以很有不是这个就是那个反正他们这个要么就是在外太空，要么就是在中世世。对对对对，而且 KOTOR 还是另外一个趋向的开始吧。这就是男主角，就是很重要的一个明星主角。从 KOTOR 开始，瑞文是薛帕德到这个霍克，这是一条线。, Start Time: 347770
Text: 对，然后再就是他们的电影化之路也是从 KOTOR 开始了开始配音，嗯，然后个各种运镜啊什么的。之前吴冬之夜和伯格之门基本都是文字游戏嘛。对，然后到 KOTOR 已经产生了一个巨大的变化。对，所以我觉得那个 BOV 啊呃因为这个版权的原因，所以他们不能再开发那个伯乐之门了。, Start Time: 368370
Text: 嗯，所以他们决心说那个从 QOOR 开始决心走自己的道路。所以后和那个吴之之夜，也就是和这个威士制结束合作之后呢，他们就开始决定说做自己的的种种奇幻的大 PG。是呃然后我们上次也提到过一个比较小众嗯的作品，就是 x box 上独占的那个 JJ ana 啊、, Start Time: 388930
Text: 翡翠帝国啊，实际上那个 BOOR 啊是一个被被遗忘的神作吧。是是因为其实那个 j nea a 奠定了很多，包括现在的这个 BOV 啊 RP 级的一些特色。嗯，比如说它三种职业，三种主要职业，嗯，啊基本上就是说那个灵敏型的就是盗贼。对啊，或者如果换到那个 mss，, Start Time: 409290
Text:  massive effect 的话，就是那个叫渗透者嗯啊之类的。然后呃然后就是那个战士型的坦克型的角色，然后就是那种那师型师型角色，基本上就是三三个大的职业，然后再做一些小的这个专精。嗯，啊完了以后，呃，包括邪邪的阵营啊，剧情的分支啊，善恶的选择啊，嗯啊，, Start Time: 429260
Text: 其实都有。还有那个握拳知道对开掌知道开长知道这两个意思。其实握权知道，其实就是说一切都用诉诸武力解决啊，其实就是邪恶路线一 o way 啊。然后开长知道呢，就是说那个开放和平解决，对和平解决，这其实还是从那个星球大战那那部那部作品来的，就是光明面和黑暗面到后来立的光明黑暗。, Start Time: 449340
Text: 面对对，德尔尔尔直都也是对这个卡 mer 直目，就这类就是二正邪黑二。对对对对，二元对立龙腾好像是没这个。对，没这个计腾，没有龙腾，但是就是就是你队友对你的反应嘛。对，就是友好和敌。对，就是他只有好感度，他把那个那个善恶值给取消了。对对，而且能看出来就是我们要说 DAI 里面就是龙腾世纪审判里面也有一个任务，, Start Time: 472100
Text: 很明显是借鉴这个 JDM 尔就是那个水霸村长的那个。对对对对，那个借鉴了 pjadm pir 里那个著名的孤儿院任务。对，知道大家家 RPG 那个里面，我我那个就 jj a pad。其实一方面是说，我觉得说奥亚的那个设定能力非常强。嗯，因为因其其实那个整个 bewer PG 来讲，, Start Time: 496810
Text: 就是如果们习习惯日日式 RPG 或者美式 RPG，极少有人会去做一个东方风格的。除了我们自己玩这个仙剑奇侠以外，对那么一个纯北美的厂商做一个东方风格的游戏，而且把握的非常好，除实是非常难得，而且细节非常棒。很多人基本恶的也很棒，很多人就是一看人设就不玩了。, Start Time: 517910
Text: 其实玩起来我就是那取消。对对，因为战斗系统也很不错。对，因为人设难免会有一些奇怪的地方。但是实际上你玩起来呢，他其实把武术的动作也结合进去了。对啊，他有一些那个技能和特技，其实是呃从少少林功夫来的，他有些动作是很像的。嗯，啊，所以另外一点就是说呃，那个就是说那个象征着 bao OR 开始走向一个那个完整的更加独立的厂商。, Start Time: 536230
Text: 就是因为它开发主机游戏了，而不仅仅限于以前的那个鼠标和键盘操作的 QOTR，也是主机游戏对主，而且主机。而且这个时候那个微软对这个 bio OR 它的一个影响力在。因为当时我应该应该可以说就是旧共和五是算是当时帮帮三六零啊，不是三六零。当时第一代 x box 第一代 x box 卖的很好的一个重要原因是是因为那个时候 x box 上面呃 RP 级的类型是比较少比较少，, Start Time: 564130
Text: 而且还是星战最好的星战。二星战题材是一个就是说呃你做的再烂都会有人买单的一个状况。它是一个九十三、九十四分级别的这种神神神神作级别。嗯，所以 QQQTO 二也和也做了两代，那么 j 派有定进一步奠定了这个呃 neabio OR 怎么在主机上去更好的开发操作，, Start Time: 589890
Text: 开发经验，尤其是游戏的设计上呃，如何适应主机的这个动作性啊，因为它动作性很强。对呃，相比于那个鼠标键盘来说，更强求的是动作感对打斗感、手感对而不是策略性。对，所以在这方面呢， bill OR 其实有了长足的进步。嗯，还有一款可能很呃很多人不会提到，但是实际上也是当年 bo y 很惊喜的一座，, Start Time: 611810
Text: 就是在他们他们在 NBS 上出了一座 sonic 的 RPG，真是没玩过。因为很多 sonk 的 RPG。对啊，肯定很多 BOY 做的对，完全都是不知道。我听说过听说过，但是真 NN 过，我玩过非常好玩过，这是他们跟那个世嘉合作作的。呃，所以我就说呃可以由此看出，, Start Time: 634680
Text: 就是 bio y 实际上他对于不同题材画风啊，甚至就是是不同设定的掌握能力是非常强的。嗯，呃 sonic RPG 的评价也是非常非常高的。当初而且是非常惊艳的。呃，因为我们也知道就是老牌的那个日本的游戏厂商啊，像 camcon 啊、世家呀，实际上在欧美也是有很多老玩家对，, Start Time: 653120
Text: 是非常有感情的。对，那么 sonnik 实际上也是一个象征性的世家的看家的这个 icon 啊，所以把这个吉祥物做出做成一个 RPG 的时候，大家很多人都没想到啊，其实他的 RPG 体验是非常扎实的。虽然只是一个二 d 的那个 NDS 游戏，有空的话可以补课，, Start Time: 673040
Text: 是二 d 的呀，二 d 啊啊不是三 d 的，嗯，然后就该进入新的时代了。对，然后就是 bio y 因因为一直是独立厂商啊，但是就是因因为他的能力越来越强，所以呢呃实际上呃他后来经历了一系列比较复杂的并购啊，他现是被一个投资公司司叫 evrelation 那个投资这家投资公司呢呃，, Start Time: 690790
Text: 股东之一是鼎鼎大名的 youtube 乐队的那个主唱 bono bono 啊，是是他是股东之一，叫他经过这个文化人阶级的文化人，对不尔投资。对，然后因为这个 PE 投资了以后呢，其实就把 BOY 的那个资本扩充的比较大了。然后他们就有能力去做比较好的东西了。, Start Time: 714950
Text: 而且我记得好像是 EA 之前呢有一个高层，实际上是去做了这个 PE 的主管的。后来就是呃又回到 EA，然后主导了 EA 把 BOY 并并这这件情情。所以我觉得可能他其实就是呃可能就是整个这个资本运作流程实际上都是经过策划的对，总之事实就是现在的结果，大家都知道，, Start Time: 733530
Text: 就是北 OY 被 EA 所收购了啊，但是 EA 的收购史呢的确是有点臭名昭著的。对，所以 AA 就玩死。对对， west wood 呀，对吧？所以很多玩家人说白 OVR 要要完蛋了。对 EA 二和 ME 三之后，这个 EA 的黑手生下来了是吧？所以事实上其实并不是还不错。, Start Time: 755620
Text: 对，因为现在的 EA 我们也能感觉到，其实它的变化是挺大的，是他 EEA 还是出来很多。对自自从自从自从好连续几年那个在北美最最受最受差评的公司夺魁之后，对对，再加上今年玉碧声名鹊起， EA 就被 EAEA 就就不再垫底了。对，有人陪他了。对，所以好消息就是是那个被 EA 收购以后，, Start Time: 775020
Text: 贝奥威尔的那个实力更加扩张了。现在的贝奥威尔实际上已经有三个工作室了。嗯嗯，在美国的那个奥斯汀也有一个工作室，然后加拿大有两个工作室这样子。实际上贝奥威尔已经是一个呃实力非常强的一个大的主流。看跨国公司。对，应该说所以他推出的游戏都是三 a 级的主流作品了，, Start Time: 800170
Text: 是不再是当年那个小小的代工厂。没错，嗯，哎就是我插插一句啊，就是我记得贝奥威尔的创始人好像是医生。对对，所以真的是西总，西总国也是贝奥威尔。对，所以但是他们两个创始人都是那个就有点像东北大汉啊那个大叔，然后记是贝撒德的福子，这两个人现在都已经离职回家付闲了。, Start Time: 819290
Text: 对对，因为他们基本上创始人已经不干了。对对，所以基本上已经就是退出了嘛。啊有新一代的人了，就是一二年那个质量期待的一年完事儿之后，可能说没有获得太好的预期预期想要的那种效果。就是因就我国和和质量泰克三发受那年对之后，可能是跟 EA 的这个上层有一些有一些矛盾，, Start Time: 840790
Text: 然后他们就退掉了。不过博多时期的主力还都在对，包括那个萨维盖德，嗯，包括还有那个就是 star words online，我觉得也是一个。嗯，怎么说呢？我觉得应该是说那个 EA 是想比较有野心的。因为其实 EA 在那个呃那个创世纪之后，就 UUO 之后，其实一直没有特别好的看家的这个 MML，, Start Time: 865680
Text: 还有个战锤也失败了，战锤失败了，不止，他毁了好多了。包括 AL 那个原来说 LOTR 嗯是吧，也说要做那个魔界，也说要做 online，结果也没做成魔戒。现在是土鳖做嘛，嗯界界有一个，但不是 EZ 在。对对对，就是就 EA 一直没有把这个就没有看家的这个这个在线作品。, Start Time: 887580
Text: 其实你们不知道玩没玩过 TOR，没有，就是这是 old republic，其实它的单机部分非常好。就是他相当于有说你夸一个网游的单机部分好，相相当于相当 a 一直不适和大家一块玩。这这网游就适合你一个人对我一个人玩玩的非常开心。嗯，相当于有八个起源的这个故事线，, Start Time: 907080
Text: 然后都可以选男女，每个都有五个队友，然后有很丰富的剧情，嗯，然后基本是质量效应这个水平。嗯，但是就是满级了之后，实在是太无聊了，以至于我就 AFK 两年了哦， OK。所以呃，好在是那个被伊 a 收购以后呢，呃， bell well 手里已经有了两张新世纪的王牌。, Start Time: 929360
Text: 对，一个就是我们刚才说的太空设定的，就是 mass effect 质量效应应啊，奇幻定定的就是人。对对对，嗯，标准的太空歌剧和 jgghigh fantasy 实施奇换。对对，所以非常有意思啊，就是两设定是两个截然不同的设定。然后呢，那个从游戏性上来说，打法上来说也是完全不一样的。, Start Time: 950100
Text: 一个是那个打枪。对，当初其实我还记得呃 beo 威 r 公布说要做那个 massive ed 质量效应，然后是用那个三人称射击的时候，嗯，我就觉得可能要完蛋了，结果没想到。对，因为因为我们都知道，就是说其实射击游戏是比较难做的，包括以射击为主流打法的 der p 级是非常非常伤时射，, Start Time: 969590
Text: 很震惊。说实话，因为就这种组合没想到过，就是一个传统美式 RPG 竟然能跟这个 TPS 结合。因为而且是你打枪，你想就是打枪的话，就是打枪顶多，你换枪不同枪种对手手枪或者枪。对，但你这个你怎么把 RPG 元素，因为 RPG 它你用的武器，你用技能术，这你怎么应用在枪械上。, Start Time: 991210
Text: 而且大家会觉得说 bao v are。我们不怀疑说 RPG 的游戏的制作能力。但是他如何把打枪手感打好，会不会很急？一类就这个 ME 一的打枪手感不是很好。对，而且它融入了很多 RPG 的东西。比如说这个你的这个技能熟练度决定你这个狙击枪能不能能不能缩圈啊这些。, Start Time: 1010850
Text: 对，呃，但是 m 那个 MN 那质量效应一呢有一点我觉得是呃把握到位的。就是说那个时候大家要记得三六零上已经有那个战争机器了。对，就第三人称的夜间视角的射击 TPS 已经被大家广泛接受了。对，但是在那个镜头的那个把握感上，呃，包括那个基本的一些那个射击的逻辑上，, Start Time: 1029820
Text: 我觉得质量效应还是把握住了。所以没有让这个游戏体验呃，能够呃就基本上是一个中等水准吧。嗯，对，不过不失吧，没有产生太大的纰漏，比较大的纰漏，就是电梯和那车啊。但是质量效应一是挖了一个很大很大的坑，提供了一个很大很大的悬念。嗯，为了一做的确实也做的很棒，对剧情是至少我觉得比二要好。, Start Time: 1050660
Text: 对，但也也要好一些。对我感觉就是质量效应的。呃，我觉得一代最大的问题是说它星球看上去很多，但是重复性太强了。对，然后你到一个星球，其实你只能探索一点儿，然后尤其是场景的重复太高了，所有的太空船对几乎都是一样的，只是房间不同而已。还有房间其实里面也是所有的箱子，, Start Time: 1074240
Text: 只是布局不同了，所以这个重复感到后来会有点强。以至于刚才开场音乐，这个等噔噔噔噔一响的时候，要不要再来一下来，不要再来一下。但是我觉得就是从我的角度来说，就放在因为那个是零六年的游戏。对，是放在那个时代来说，容量很有。对对，因为那张碟三六零就是那个是三六零，, Start Time: 1096350
Text: 用的是 DVD。就那个时候我觉得你玩一款打枪的游戏，也就八到十个小时的流程，那一张碟已经可以了。对，这个个个小小时的程程可以探索各种是上量限。对，上来就是几十个小时吧，三十个小时太多。其实你已经可以玩的很彻底了，就是但是你可以探索那些星球啊，对，然后就这么丰富的流，, Start Time: 1114650
Text: 所以我就说这个等等等登噔啊。对来来来来来啊，对，这个音乐一想，你就想了那个星际地图出来了，是去哪个星系呢？是吧？嗯，然后连续三代都是这样。对对对啊，这个音乐真的是很燃啊，就探星空探索欲，就我的征途途是星空大派。对对，而且他最标准的队友啊设计啊都是很不错的。, Start Time: 1132630
Text: 对，很多东西大家都后来都当成家人了。嗯，说李二啊呀或者尔斯啊这几个对塔利啊这些队友，而且就是他们每个人身后也都背负了一个种族的故事。比如我一直记得那个 grax 要不要死？对对，第一季的时候，嗯，而且这个他们种族的兴衰一直延续了整个三游戏三代。嗯，其实说一个笑话，, Start Time: 1155420
Text: 就是其实 ME 系列的队友都是高帅富，而且东都不是王子呀，就是什么文艺继承人呀，当是都是都是很牛的人，但是他们也就更能代表就是自负的这个种族的观事。对塔利的父亲是舰长。嗯，对对，李二啊的母亲是族长。对对对对，呃，一群富二代的故事是吧？嗯嗯，但是很有意思，就是说的确是那个 bell 尔之前呢呃像那个我们玩那个伯德之门啊，, Start Time: 1177520
Text: 呃包括那个呃玩玩那个呃嗯舞动之夜也好，他其实在奇幻世界里面，那个创造的角色其实是不创造角色的，就玩家扮演自己本人。对，刚才提到 weshsheer er shshapper 的，但斜坡船长呢嗯绝得硬硬生生创造来。而且对一开始那个脸设定图的时候，就有人拿来跟荷兰一个男模比说就是就是好像就是他就叫他那个脸捏的包包 y 他就有这种恶趣，, Start Time: 1204660
Text: 他特别喜欢照着一些模特的脸去捏，就是捏人人，然后捏捏帅呀，捏捏把他捏丑了。但是斜坡还可以晒坡，斜斜坡还可以，而且我最满意的一点是从二代开始，是是捏人的那个码啊，是有一个网站，他是告告诉你怎么捏的帅，然后那个马可以分享，就一串那个什么命令符是吗？对，不就是那个一串数字啊嗯啊，, Start Time: 1232320
Text: 数字和字母的组合，而且都是可以复制的。你到网上去搜这个码，然后我觉得哎这张脸帅，然后你把这个码输进去，你就不用捏了就帅了。对，直接就一个脸出来了。嗯，大家都知道那个质量相贴贴吧个个宝吧吧，没看看，回去一定要搜一下。绝对非常霸气，属于那种捏的丑的极致，但是又丑又霸气。, Start Time: 1254040
Text: 最最牛的是捏着这个人，还用她都玩完了，还有别人把她码贴过来，再拿那个很丑的去玩，好吧？对，但是是不忍忍受，是三代的那个女 shepher 的那个脸，我实在是有点不能接受。就是看起来选的时候，大家选的时候都觉得很好，就是选出来一三 d 建模，我不会是欧奥，而是特别奇怪。, Start Time: 1273810
Text: 对，就是有点她捏不好女的，从来捏捏不好女的，但是女有点点他二次元的感觉，我老觉得是。但是你也可以这么理解，就是说如果你自己的女性角色太帅了呢啊太美了呢。你可能就觉得游戏里的就你没有吸吸引力了。是对，而且 shepper 的有一个很次要的就是她真正的是一个生软和玩家共同塑造的角色，, Start Time: 1294670
Text: 而不只是玩家的化身。没错，其实你选择的大部分的东西对话，其是 shelfer 的性格，其实 shffer 性格就是三种嘛。中间哪有人选？中间嗯基本就是老中间基本就是楷模跟叛逆，而且生人很鼓励。这个就是如果你不解不一直选楷模或者叛逆的话，最终会有一些嗯东西有一些剧情你解锁不了。, Start Time: 1315690
Text: 没错，比如说比如说米瑞安娜和 jack 的那个性突，如果你不一直选一个选项，你就劝不开。嗯，所以他是鼓动你一直在塑造一个塑造一个性格。所以这个角色虽然是你选下来，但其实是 biilwell 塑造。然后然后你结结合他的配音，尤其是女斜颇的 jennifer，, Start Time: 1337140
Text:  how 嗯非常非配音非常 man，非常非常有感觉，然后就 powerful woman。对，然后一路玩下来玩家非常有感情，以至于斜坡是一个感情丰富，甚至超过他的队友的。对这么一个配音很重要。对，嗯，配音的确很重要，因为声音演出没错，那是配音重要。之所以在 bieler 的游戏这么重要，, Start Time: 1356020
Text: 其其实因因因为 bo y 的剧本对话分支写的太好了。嗯，我们刚才在热身的时候就聊到说，实际上现在有很少有游戏，不光是 RPG 这么重视写作，不是所有的游戏都有 writer 这这个角色是啊就是 bo y 的剧本，一向是非常非常厚的。网上你去看那个配音表的话，, Start Time: 1375960
Text: 以后达啊，因为配音他得配各种各样的分支。对对，可能玩游戏他只选一种啊，但是他得配所有的情况。对啊，嗯而且我们从那个伯德之门就知道，就是说这种分支选项呢来源于那个去对于剧情的分支。对啊，对于这个性格的表现啊，对于这个演出性的那个表现都非常重要。嗯，啊而且 bo y 还引入了很多新鲜的机制啊，, Start Time: 1395070
Text: 比如说到了那个三代的时候，你可以打断啊，直接用动作代替语言二代的时候就有。对对对对，这样就不是你就没有融入感。对，你不是就坐在一边看那个对话镜像，你就是你可以中间去干涉他。对，而且直接用拳头来表达你，而而质质量效应的这个电影运镜水平嗯其实还是很不错的。嗯，, Start Time: 1420570
Text: 而且一代更比一代强那种感觉，尤其到质量项链二之后，他有一个有一个飞跃，就感觉你电影感非常强强。没错啊，都记得质量项链二的开局。虽然我很烦那个开局，因为很有历玩都得玩一遍，但是很有历史，很有史诗感。我第一次玩的时候就完全被打，就是我就是我我玩二代的时候一开始傻了，, Start Time: 1440120
