Text: 大家好，我叫也很高兴认识你们。大家好，我是追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏也能长知识。欢迎收听机核网加九 pro。如果您想体验本期节目最好的视听效果，请到机核网网站三 w 点 g 杠 CORES 点 com 查看我们开发的新功能，保证会让你耳目一新，, Start Time: 270
Text: 不知梦住。大家好，欢迎收听最新一期的加里奥 pro 专题节目，我是西蒙。大家好，我是茶包，我是麦教授。大家好，我是拿破仑一世。今天我们几位回来啊继续上一个序章，然后正式为大家揭开这个 dragon age 的篇章。嗯，对，今天我们主要说就是 dragon age 这这部作品对，, Start Time: 64395
Text: 刚才听到的也是他的作品。对，就这这首菜单音乐对菜单。对，这首大你想肯定，但你们回到零九年是零九年，对，是零九。龙腾世纪，这是开山之作。对，龙腾世纪起源。完了这个今天咱们这个这个节目啊，主讲人是拿破仑一世啊。好，大家好，我是龙腾世界吧，拿破仑一世，这还是出处的。, Start Time: 147080
Text: 对对，那么从何说起？嗯，上一期我也讲，龙腾世纪起源是我人生当中很重要的一款 originr PG。但是现在过了四年、五年这么长时间，其实回过头来玩，我还是觉得它是一款很杰出的 RPG。嗯，抛除料第一第一面的这个震惊来说，嗯，它究竟有哪些特质？能长久来说吸引我们这个这期是我们我们要主要讨论这样一个问题。, Start Time: 191040
Text: 嗯，对，然后然后起源我觉得也有很多意思啊，就游戏当中你可以选择起源，然后它也是个这个 dragage 系列列一个起源。对对他讲了很多，包括各种纷争啊这种起源源。嗯，对嗯，基基基纪纪 dragage 顾名思义就是讲有一个世纪叫龙腾，世纪类似于二十世纪十九世纪这样。, Start Time: 221290
Text: 对这个纪这个纪念啊，其实其实最早就就是有点像那个托尔京他的作品中间有第一纪元、第二纪元，第三纪元嘛就是指皇王故事就发现纪三纪元。然后所以这个纪元就是就是就是所谓纪元就有点像我们说的世纪，我们一直八一年号。对，然后对年有有点像年号意思。对，这个世界界年号基本上都是由教会定的吧，, Start Time: 245770
Text: 是吧？对，教会的就教会定定那个立法吧。呃，这个所腾世纪是第九个纪元，纪元我们怎么算起呢？就是我们上一上一期讲到了嗯龙童世纪纪这个但是跟基督教不同的是，基督教是从从公元公元零年是耶稣的诞生讲起的，是吧？对，然后但是安卓斯帝教其实安卓四帝的死亡，他在大概纪元前一百多年还是两百多年，, Start Time: 267590
Text: 就是他是在纪元泉出现对后纪元的这个是公元零年，这个时间点其实是在是在这个教皇。第一第一个教皇就是对第一个 divine。对，第一个 divine 就是蒂尼亚对蒂尼亚一世世，然后在在 viral ill，然后成就是成为一个教皇。我我这一个问题啊，这个我们之前提到这个这个安安安卓斯提这个这个这个这个这个崇拜，, Start Time: 295640
Text: 就是他这个教会，那就是我们也 andtrusty 这个名字，我们在游戏中间他也出现过很多遍，对 trusty 具体是一个什么样的人？对对，简单安故事介绍一下对 ruandrusty 这个人，他是由谷歌开发的一款安卓系统。对， trusty 是一个 idol 吧。, Start Time: 320080
Text: 他现在在现在来说已经是一个偶像，就像就是一一一个一个偶像。但他又不像上帝那样是无形的，他是一个救世主，这个救世主有点像耶稣基督，嗯，就是他是从耶稣基督的这个原型里来的。但是他是一个女性，她的定位不是上上帝的儿子，而是上帝的新娘，就是他没有三 d 三位一体。, Start Time: 339000
Text: 这一说嗯就是上帝的新娘，他是个人类，嗯，是人类，从上帝那里就是重新获得了荣宠。在某种角度上，所以他是代表人类出现的一个呃正对。因为我们上次提到就是那个 taventer 的人，就是他们那些 majust 进入了那个神的领域。对，然后触怒了神，而 unundersty 他又重新拯救人类。, Start Time: 359990
Text: 对，所以他就赢回来。对，所以他就他就侍奉侍奉这个造物主。其实嗯 untrusty 本人还有一个就是还有一个形象源流，就是圣与真德。对，嗯，大家都都知道圣与真圣女真德最大的特点就是从那个法从英国人手中解放了法国嘛。嗯， untrusty 就是从泰文特人手卫中解放了全世界，, Start Time: 380010
Text: 嗯，大概就是就是伟大领袖金正日金正恩。所以瑟达斯就是变成了除了特文特帝国以外，就还有各种各样分裂的国家。对，大概有那那哪几个嗯，稍等，我得先跟不知道这个瑟达斯是什么人说一下对瑟达斯 sidas 是这整个龙腾世纪发生的这个世界这个大陆的版族。对，这个大陆的名字叫斯对 sidt HEDNS，, Start Time: 404860
Text: 意思就是 the dragon age sitting。对当年龙腾世纪，龙腾世纪的设定就是这个意思。当年尔灵机一动，但是在游戏里，他他的意思就是大概是目光能见到的地方，目光所见的地方。这是当年那个泰文特的一个语言的一个含义，这是一个泰文特的定义。嗯，对整个世界。, Start Time: 429620
Text: 但后 bioadjusty 他是出生在我们我们熟悉的就是第龙腾世纪起源的主要国家 frodden ffrordon 的这个 dinanrim 应该是就是他的首都，类似于 frordon，是一个类似于英国的国家。对，就是他用英嘤嘤等等作为一个一个背景，然后 danrim 就类似于伦敦嘛。, Start Time: 448240
Text: 但是他是，但当年呢就是 feldan 还是一片荒芜，有各种蛮族和各种部落组成，他其实是一个呃部落，部落主，就是部落领主的一个妻子吧。嗯，然后是他就是但是他接受了上帝的照理之后，哎，大家就发现这个这个这个人施展了一些神迹，然后说要推翻这个血法师的统治，从他们残暴当中，, Start Time: 469090
Text: 然后大家就都开始追随他，嗯，后都一个很重重要，追随随者叫沙旦。这这个沙坦，沙坦是是一个精灵。我们都知道在台湾特精灵是一个底下的种族，对，一个奴隶。嗯，然后这个沙坦就是追是是是一个首先起来反抗台湾特的一个精灵领袖。然后他是追随着对追随着 adressting 一路打到了明锐 source 城下，, Start Time: 494909
Text: 就是打到了这个台湾特的都城嗯，永恒之城罗马嘛，类似于罗马或者君泰坦丁堡这种城市。然后最后 androsty 被被她的丈夫嗯给出卖了，因为她丈夫嫉妒她。对，就是产生嫉妒啊，毕竟他是上帝的新娘，但同时又是我的老婆的妻娘，后到你是谁的老婆。但那个时候他好像还没有宣称自己是那 maker 的妻子啊，, Start Time: 520430
Text: 嗯好像是吧？但是呃那个时候那个至少就是马拉法斯，我我记得是叫这名字还是不是就是他他已经已经察觉到就是已经觉得不对劲了，或者说已经已经很不爽了。然后他就把他出卖给了台文特的魔老师们。嗯， magister 们嗯嗯，结果就是按照 adjustter 接被这个在这个 taventer 城城内嗯就被火焚掉了啊，, Start Time: 546120
Text: 但是正德一样。对对对，处死女巫。那就是但是在那个他火焚掉，最后一刻就是火焚他的这个 magister 被他感化了啊，然后然后亲亲自了结了，他哦就也跟就是就是是跟跟就是他跟有一些历史史实也是类似，就从亲自了结他。然后他那这个 magister 从从从此之后，, Start Time: 574440
Text: 就成为了那个台 venter 的这个教会的一个起源啊。哦，大概 adjusty 的故事就是这样，之后 adjusty 之故大，就是之百一一百多年吧，然后整个全世界都在纷纷独立。然后哦我突然想起来要补充一个，就是你说就是她丈夫就是呃出卖他的理由，我想起来了，, Start Time: 601060
Text: 好像是当时那个 ununjusty，当时他就是要争取就是呃和和 maker 在沟通，想让 maker er 到那个个城市重新就是原谅人类黄金之城。对对对，然后然后好像就是他他丈夫好像就是因为极度的确好像因为极度原因就把来出卖了。对，但出卖那个时候就触怒了 maker maker，, Start Time: 624070
Text: 所以就尽管 addressty 差点把 maker 请回来， maker 就再次触怒 maker，就就就完全这样背弃人类。所以在在 unjusty 教会里面，就是他们的目标就是只要只有塞拉斯上所有的种族都会相信 maker，然后 maker 才会再回到人类。, Start Time: 643030
Text: 是对对对对对对，然后所以这就是为什么 unjusty 那个那个他经常会对外发动圣类，就就就是因为他要要确始逼迫所有人，包括我们后面的那个库雅瑞人去信仰 andjustate，消灭异教徒。对我们我们刚才讲了就是帮助 unjustate 打赢这场战役的。有一个人叫 shatm 嘛，, Start Time: 661670
Text: 就是精灵。精灵在这场战争中起到了很重要很重要的作用。但是然后于是就是人类也许诺给他们一个一个地方叫嗯嗯戴尔。嗯，然后这个就是精灵的家，精灵的新家相当于嗯嗯他的地方它的位置大概就是在呃就是在这个的的故乡西西边，有一个有一个国家叫奥莱境内啊，就是这样。但是但是这个是这个是这个这个这个国家这个经营国家独立过，, Start Time: 683120
